code_spygen,code_explo,rep,date,station,site,country,project,habitat,sample_method,time_start,time_end,duration_min,volume,depth_sampling,Depth,gps_start,latitude_start,longitude_start,Track,filter,Pompe,sampler,data_manager,gps_owner,comments
SPY213515,,1,04/10/2021,Cannes Biohut,Cannes,France,MedPortADNe,BIOHUT_port,Point,13:38,14:08,30,30,0,,27,_43.539883000,_7.030740000,,0.2,,VM (Virginie Marques),VM,CEFE,
SPY213512,,1,04/10/2021,Cannes Port,Cannes,France,MedPortADNe,Port,Transect_kayak,15:14,15:48,30,30,0,,,,,Cannes_port_rep1,0.2,,VM,VM,CEFE,Pump stopped for a few minutes (security boat navigation)
SPY213516,,2,04/10/2021,Cannes Port,Cannes,France,MedPortADNe,Port,Transect_kayak,16:02,16:32,30,30,0,,,,,Cannes_port_rep2,0.2,,VM,VM,CEFE,
SPY213517,,1,05/10/2021,La Ciotat Port,La Ciotat,France,MedPortADNe,Port,Transect_kayak,10:52,13:04,30,30,0,,,,,Ciotat_port_partX_rep1,0.2,,VM,VM,CEFE,"Made in 2 times (19' + 11') for each leisure port. 
Sampled for 19' then did rep 2. 
Changed port and made second sampling for 11'. Problem pump in port2: stopped to fix pump and started again where it stopped
Timing: 10:52 to 11:11 then 11:58 to 13:04"
SPY213514,,2,05/10/2021,La Ciotat Port,La Ciotat,France,MedPortADNe,Port,Transect_kayak,11:17,13:19,30,30,0,,,,,Ciotat_port_partX_rep2,0.2,,VM,VM,CEFE,"Same as rep1 
Timing: 11:17 to 11:36 then 13:08 to 13:19"
SPY202505,,1,11/10/2021,Marseillan Port,Marseillan ,France,MedPortADNe,Port,Transect_kayak,14:22,14:52,30,30,0,,,43.31735,3.55676,Waypoints_11-OCT-21.gpx,0.2,,AD (Agnès Duhamet),LD,CEFE,
SPY202519,,2,11/10/2021,Marseillan Port,Marseillan ,France,MedPortADNe,Port,Transect_kayak,14:22,16:10,30,30,0,,,43.31811,3.55716,,0.2,,AD,LD,CEFE,
SPY202520,,1,11/10/2021,Marseillan Port,Marseillan ,France,MedPortADNe,BIOHUT_port,Point,12:39,13:09,30,30,50 cm / 1 m ,,45,43.3179,3.55781,,0.2,,AD,LD,CEFE,
SPY213521,,1,12/10/2021,SMM Port ,Saintes Maries de la Mer,France,MedPortADNe,Port,Transect_kayak,11:38,12:08,30,30,0,,,43.44908,4.42284,Waypoints_12-OCT-21.gpx,0.2,,AD,LD,CEFE,
SPY213522,,2,12/10/2021,SMM Port ,Saintes Maries de la Mer,France,MedPortADNe,Port,Transect_kayak,12:29,12:59,30,30,0,,,43.45012,4.42509,,0.2,,AD,LD,CEFE,
SPY213518,,1,12/10/2021,SMM Port ,Saintes Maries de la Mer,France,MedPortADNe,BIOHUT_port,Point,11:30,12:00,30,30,50 cm / 1 m ,,46,43.44912,4.42316,,0.2,,LD (Lila Desgarnier),LD,CEFE,
SPY213520,,1,13/10/2021,Agde Port,Agde,France,MedPortADNe,Port,Transect_kayak,10:40,11:10,30,30,0,,,43.27394,3.50831,Waypoints_13-OCT-21,0.2,,CB (Capucine Brissaud),CB,CEFE,
SPY213513,,2,13/10/2021,Agde Port,Agde,France,MedPortADNe,Port,Transect_kayak,11:25,11:55,30,30,0,,,43.27518,3.50418,,0.2,,CB ,CB,CEFE,
SPY213525,,1,25/10/2021,Port Vendre Port,Port Vendres,France,MedPortADNe,Port,Transect_kayak,12:30,13:00,30,30,1,7.5,63,42.51657,3.10613,Waypoints_25-OCT-21,0.2,P2,ADa (Alicia Dalongeville),ADa (Alicia Dalongeville),CEFE,Marché au poisson à côté du point de départ
SPY213523,,2,25/10/2021,Port Vendre Port,Port Vendres,France,MedPortADNe,Port,Transect_kayak,13:10,13:40,30,30,1,8.1,66,42.51647,3.1061,Waypoints_25-OCT-21,0.2,P2,ADa (Alicia Dalongeville),ADa (Alicia Dalongeville),CEFE,GPS resté allumé dans la voiture donc la trace GPS doit faire le trajet Port vendres - Montpellier
SPY213527,,1,29/10/2021,Porquerolles Port ,Porquerolles,France,MedPortADNe,Port,Transect_kayak,09:18,09:48,30,30,1,3.6,75,43.00195,6.20099,Waypoints_29-OCT-21,0.2,P3,ADa (Alicia Dalongeville),ADa (Alicia Dalongeville),CEFE,
SPY213519,,2,29/10/2021,Porquerolles Port ,Porquerolles,France,MedPortADNe,Port,Transect_kayak,10:12,10:42,30,30,1,3.9,80,43.00366,6.20124,Waypoints_29-OCT-21,0.2,P4,ADa (Alicia Dalongeville),ADa (Alicia Dalongeville),CEFE,
