"code_spygen","date","site","project","habitat","port","Campaign","Confinement","X","Y"
"SPY181149","19/05/2018","Calvi","ReserveBenefits","reserve","FALSE","Natural","N","8.709377","42.577371"
"SPY181150","19/05/2018","Calvi","ReserveBenefits","reserve","FALSE","Natural","N","8.709377","42.577371"
"SPY181699","28/05/2020","calanques","eRef","reserve","FALSE","Natural","Y","5.3979","43.17481"
"SPY192310","28/05/2020","calanques","eRef","reserve","FALSE","Natural","Y","5.3979","43.17481"
"SPY200468","20/05/2020","banyuls","eRef","reserve","FALSE","Natural","Y","3.160999","42.46205"
"SPY200474","20/05/2020","banyuls","eRef","reserve","FALSE","Natural","Y","3.160999","42.46205"
"SPY200806","20/05/2020","cap_roux","eRef","reserve","FALSE","Natural","Y","6.92346167","43.4608233"
"SPY200807","20/05/2020","cap_roux","eRef","reserve","FALSE","Natural","Y","6.92346167","43.4608233"
"SPY201216","25/06/2020","sec 15-20m_cantonnement_t6","PISCIS","reserve","FALSE","Natural","Y","9.32566667","42.769"
"SPY201239","22/05/2020","porquerolles","eRef","reserve","FALSE","Natural","Y","6.231884","42.9960067"
"SPY201241","22/05/2020","porquerolles","eRef","reserve","FALSE","Natural","Y","6.231884","42.9960067"
"SPY201263","25/06/2020","sec 15-20m_cantonnement_t6","PISCIS","reserve","FALSE","Natural","Y","9.32566667","42.769"
