Species,id,Super_class,Order,Family,Genus,IUCN_Red_List_Category,Common_length,Maximum_length,Vertical_Distribution,Littoral,Continental_shelf,Continental_slope,Open_ocean,Habitat_soft,Habitat_rocky,Habitat_posidonia,Minimum_depth_m,Maximum_depth_m,Migration,Reproduction,Sex.reversal,Semelparity,Diet_type_Larvae,Behavior,Diet_type_Adult,Trophic_level,Vulnerability,Origin,LRFI,RedList,CryptoBenthic,NI,GF,commercial_level,SHarK,DP,B,Fishbase_link,all_commercial_level,highly_commercial_only,SSTmin,SSTmax,SSTmean,SSTmedian,SSS10th,SSS20th,SSS30th,SSS40th,SSS60th,SSS70th,SSS80th,SSS90th,mode,max_depth,m.cluster_core,TopPred,crypto_Brandl
Abudefduf vaigiensis,133,osteichthyen,Perciformes,Pomacentridae,Abudefduf,LC,15,18,Demersal,1,1,1,0,0,1,0,1,15,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,2.6,15.82,L,0,0,0,1,0,,0,1,0,http://fishbase.org/summary/Abudefduf-vaigiensis.html,0,0,14.10499954,32.85599899,27.18707138,28.28649998,22.07600021,25.70400047,27.05500031,27.87700081,28.73399925,29.12000084,29.38899994,29.79100037,29.35000038,1.176091259,0,0,0
Acanthocybium solandri,201,osteichthyen,Perciformes,Scombridae,Acanthocybium,LC,150,210,Pelagic,0,0,0,1,0,0,0,1,30,no,Oviparous,no,no,Planktotrophic,Gregarious,Piscivorous,4.3,46.16,U,1,0,0,0,0,,0,1,0,http://fishbase.org/summary/Acanthocybium-solandri.html,0,0,3.717999935,32.85599899,25.20671399,26.30200005,19.78000069,22.52799988,24.12700081,25.33699989,27.09000015,27.72599983,28.29400063,29.1060009,27.87800026,1.477121255,0,1,0
Acantholabrus palloni,202,osteichthyen,Perciformes,Labridae,Acantholabrus,LC,21.5,28,Benthic,1,0,0,0,1,1,0,30,250,no,Oviparous,Protogynous,no,Planktotrophic,Solitary,Carnivorous,3.5,31.66,U,1,0,0,0,5,,0,0,1,http://fishbase.org/summary/Acantholabrus-palloni.html,0,0,6.640999794,21.80599976,15.623674,15.94900036,10.7510004,12.00599957,13.04199982,13.95400047,17.98019981,18.66039963,19.10700035,19.60199928,18.65999985,2.397940009,6,0,0
Acanthurus monroviae,1,osteichthyen,Perciformes,Acanthuridae,Acanthurus,LC,32.5,45,Benthic,1,0,0,0,0,1,0,10,30,no,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,2.5,46.16,A,1,0,0,1,18,,0,0,1,http://fishbase.org/summary/Acanthurus-monroviae.html,0,0,23.47900009,30.43700027,26.86010317,27.36300087,24.58799934,25.7446003,26.2689991,27.0739994,27.58499908,27.83099937,27.9640007,28.10469971,27.98600006,1.477121255,19,0,0
Acipenser gueldenstaedtii,203,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,135,230,Demersal,1,0,0,0,1,0,0,5,20,Anadromous,Oviparous,no,no,Leicitotrophic,Both,Carnivorous,3.3,86.67,U,1,1,0,0,7,,0,1,0,http://fishbase.org/summary/Acipenser-gueldenstaedtii.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.301029996,9,0,0
Acipenser naccarii,52,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,125,200,Demersal,1,0,0,0,1,0,0,10,30,Anadromous,Oviparous,no,no,Leicitotrophic,NA,Carnivorous,3.4,86.02,E,1,1,0,0,7,,0,1,0,http://fishbase.org/summary/Acipenser-naccarii.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.477121255,9,0,0
Acipenser nudiventris,204,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,125,200,Demersal,1,0,0,0,1,0,0,30,60,Anadromous,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,3.3,85,U,1,1,0,0,7,,0,1,0,http://fishbase.org/summary/Acipenser-gueldenstaedtii.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77815125,9,0,0
Acipenser stellatus,53,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,125,190,Demersal,1,0,0,0,1,0,0,10,100,Anadromous,Oviparous,no,no,Leicitotrophic,NA,Carnivorous,3.5,64.48,E,1,1,0,0,7,,0,1,0,http://fishbase.org/summary/Acipenser-stellatus.html,0,0,12.00599957,16.29199982,15.05214044,15.25199986,13.97059975,14.59039974,14.85819988,15.10760002,15.32239971,15.43999958,15.59300041,15.70800018,15.28800011,2,9,0,0
Acipenser sturio,205,osteichthyen,Acipenseriformes,Acipenseridae,Acipenser,CR,175,300,Demersal,1,0,0,0,1,0,0,20,50,Anadromous,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,3.5,88.08,U,1,1,0,0,7,,0,1,0,http://fishbase.org/summary/Acipenser-sturio.html,0,0,3.388999939,27.16799927,12.62191123,10.80599976,7.122000217,8.710200119,9.767999649,10.32840023,11.64999962,13.19400024,16.44499969,22.70879936,10.28199959,1.698970004,9,0,0
Aetomylaeus bovinus,398,chondrichtyen,Rajiformes,Myliobatidae,Aetomylaeus,CR,125,150,Benthic,0,1,1,0,1,0,0,2,100,no,Ovoviviparous,no,no,no,Both,Carnivorous,3.8,58.88,U,1,1,0,0,1,,1,0,1,http://fishbase.org/summary/Pteromylaeus-bovinus.html,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,0,0
