"R","FD","LFI","Crypto","DeBRa","CTI","Exo","RedList","Chondri","Trophic","Commercial","High_commerc","PD","Vulner"
"SPY213513",29,9,19,6,0.857142857142857,18.5464850043478,1,2,1,3.36,12,8,11.8457669786953,48.03
"SPY213520",38,9,25,8,1,18.4772133523333,0,2,2,3.44848484848485,15,9,13.7033877413308,48.1188888888889
"SPY221741",15,7,13,2,0.777777777777778,19.0605998376923,0,0,0,3.16,7,3,6.18669719491019,52.35
"SPY221742",15,6,10,4,0.666666666666667,18.8124742116667,0,0,0,3.13571428571429,5,2,7.13511977042527,55.43
"SPY213515",55,13,34,12,0.758620689655172,18.9026311986957,1,3,2,3.488,18,8,20.3928914144924,49.8771428571429
"SPY213512",23,9,17,4,0.769230769230769,18.7598114428571,0,1,0,3.38636363636364,11,6,11.1980285633471,48.7985714285714
"SPY213516",40,11,26,6,0.947368421052632,18.7053106360606,0,1,0,3.37777777777778,18,9,15.8593246116571,45.357
"SPY221745",50,10,29,9,0.76,18.9333874734146,0,1,0,3.49302325581395,18,8,18.3367346435716,42.7061538461538
"SPY221746",43,10,27,8,0.739130434782609,18.8257639124324,0,2,0,3.43076923076923,15,7,16.0329543943303,39.7830769230769
"SPY213514",51,11,34,7,0.875,19.101744212439,0,1,0,3.52727272727273,19,9,17.7627405789198,47.585
"SPY213517",58,12,37,13,0.625,19.03648614125,0,2,0,3.49803921568627,18,10,20.8482858547649,45.6529411764706
"SPY221749",54,10,29,17,0.484848484848485,18.9090850604444,1,1,0,3.39583333333333,16,9,17.9819549398808,46.076875
"SPY221750",46,11,28,11,0.64,19.2954009831579,0,2,0,3.52,18,9,16.9763972255202,48.1538461538462
"SPY221751",46,12,30,9,0.692307692307692,18.79410124425,0,0,0,3.38604651162791,16,6,16.1267460864154,48.1608333333333
"SPY221753",48,13,33,10,0.678571428571429,18.7212038853488,0,0,0,3.40869565217391,17,7,17.9737926657866,43.915625
"SPY202505",60,14,34,15,0.625,17.9162877604082,2,1,0,3.38039215686275,17,9,20.9462734306445,46.1528571428571
"SPY202519",47,11,30,10,0.615384615384615,18.1892310702564,2,0,0,3.38048780487805,15,9,17.3119582659983,50.1272727272727
"SPY202520",54,14,34,11,0.714285714285714,17.9992570624444,2,2,1,3.43617021276596,19,9,18.5774941178323,48.7078571428571
"SPY213519",47,11,33,8,0.8,19.1688361621951,0,0,0,3.475,19,8,15.578188058402,48.1608333333333
"SPY213527",20,8,18,1,1,19.4824109172222,0,1,0,3.42631578947368,12,5,8.09169817053904,51.1842857142857
"SPY221747",41,11,27,7,0.608695652173913,18.789579010303,0,0,1,3.40555555555556,13,5,14.3524872820084,50.2936363636364
"SPY221748",52,12,32,11,0.777777777777778,18.7897203845455,0,2,1,3.52127659574468,18,10,20.8755337745849,48.78
"SPY213523",46,10,33,4,1.29411764705882,18.5364519636111,0,1,1,3.66578947368421,21,12,16.8979024578215,50.8116666666667
"SPY213525",45,11,32,5,1.15789473684211,18.7963149126316,0,1,1,3.665,21,11,17.2547591338945,48.514
"SPY221743",52,10,31,11,0.642857142857143,18.1189067053488,1,1,0,3.43333333333333,17,9,19.159900084643,47.7307142857143
"SPY221744",50,12,34,8,0.916666666666667,18.2569440042857,1,2,1,3.46222222222222,18,9,19.129400906455,46.2721428571429
"SPY213518",61,12,35,12,0.793103448275862,17.77394554625,2,3,3,3.42941176470588,17,11,21.9210567178643,44.0205882352941
"SPY213521",47,11,27,9,0.772727272727273,17.3105082786111,2,2,1,3.5,14,8,16.3380456231146,45.8264285714286
"SPY213522",54,12,31,11,0.84,17.5127434932558,2,2,2,3.43333333333333,16,10,18.5146970087923,46.0333333333333
"SPY221739",58,13,33,12,0.6,18.3205254237778,2,2,1,3.40851063829787,16,9,19.6165784562475,47.3481818181818
"SPY221740",63,13,35,13,0.625,18.0046226834694,2,2,1,3.42352941176471,20,9,18.7688257601707,45.4307142857143
