"R","FD","LFI","Crypto","DeBRa","CTI","Exo","RedList","Chondri","Trophic","Commercial","High_commerc","PD","Vulner"
"SPY213513",27,8,17,6,0.846153846153846,18.5601114071429,1,1,0,3.26086956521739,11,7,11.6645005172178,48.03
"SPY213520",35,8,22,8,0.9375,18.4824851792857,0,1,0,3.34333333333333,14,8,13.5221212798533,48.1188888888889
"SPY221741",15,7,13,2,0.777777777777778,19.0605998376923,0,0,0,3.16,7,3,6.18669719491019,52.35
"SPY221742",15,6,10,4,0.666666666666667,18.8124742116667,0,0,0,3.13571428571429,5,2,7.13511977042527,55.43
"SPY213515",50,12,31,12,0.678571428571429,18.8818716381395,1,2,0,3.42391304347826,17,8,18.4706386338887,49.8771428571429
"SPY213512",23,9,17,4,0.769230769230769,18.7598114428571,0,1,0,3.38636363636364,11,6,11.1980285633471,48.7985714285714
"SPY213516",37,11,25,6,0.842105263157895,18.7433087270968,0,1,0,3.34411764705882,17,8,13.6240306748424,45.357
"SPY221745",45,10,28,9,0.75,18.99403897,0,1,0,3.47317073170732,17,8,15.5275330565031,42.7061538461538
"SPY221746",38,10,26,7,0.727272727272727,18.727422576,0,1,0,3.42972972972973,15,7,14.8088174437933,42.265
"SPY213514",48,11,32,7,0.791666666666667,18.9192037666667,0,1,0,3.48095238095238,17,8,17.3548030288585,47.585
"SPY213517",54,12,35,13,0.612903225806452,18.9488716528261,0,2,0,3.47142857142857,17,9,19.5494479795862,46.1525
"SPY221749",54,10,29,17,0.484848484848485,18.9090850604444,1,1,0,3.39583333333333,16,9,17.9819549398808,46.076875
"SPY221750",45,11,27,11,0.6,19.2759372905405,0,2,0,3.49487179487179,17,8,16.7951307640426,48.1538461538462
"SPY221751",45,12,29,9,0.653846153846154,18.7890467435897,0,0,0,3.38809523809524,16,6,15.7410164532255,48.1608333333333
"SPY221753",45,12,30,10,0.62962962962963,18.54591837475,0,0,0,3.37674418604651,16,7,16.768518912894,43.43
"SPY202505",59,14,34,15,0.59375,17.9366378560417,2,1,0,3.388,17,9,20.6007656386401,46.1528571428571
"SPY202519",46,11,29,10,0.64,18.2073606657895,2,0,0,3.355,14,8,16.6146046354494,50.1272727272727
"SPY202520",52,13,32,11,0.769230769230769,18.0389535681395,2,1,0,3.39111111111111,18,8,17.8801404872834,48.7078571428571
"SPY213519",44,11,31,7,0.75,18.9627403952632,0,0,0,3.43414634146341,17,7,15.0429645529788,48.1608333333333
"SPY213527",19,8,17,1,0.9,19.1608120852941,0,1,0,3.36666666666667,11,5,7.82595864999268,51.1842857142857
"SPY221747",38,10,25,7,0.590909090909091,18.8667800322581,0,0,0,3.34117647058824,13,5,12.6828905737578,50.2936363636364
"SPY221748",46,11,29,11,0.62962962962963,18.8115937685,0,2,0,3.46046511627907,17,9,17.8674963155369,47.4664285714286
"SPY213523",37,9,25,4,1.21428571428571,18.3191700975,0,0,0,3.45,15,8,14.6887923033908,50.2518181818182
"SPY213525",38,10,25,5,1.125,18.5907239864516,0,0,0,3.49090909090909,16,8,15.9532600758751,47.91
"SPY221743",45,10,26,11,0.6,18.1203332972973,1,0,0,3.37179487179487,15,7,16.4502907502309,47.2061538461538
"SPY221744",42,11,28,8,0.772727272727273,18.2881429222222,1,0,0,3.38421052631579,15,6,15.93585313406,46.2721428571429
"SPY213518",53,11,30,12,0.642857142857143,17.6765499813954,2,1,0,3.35333333333333,14,8,19.048509486316,44.0205882352941
"SPY213521",44,10,25,9,0.761904761904762,17.2357078041176,2,1,0,3.44444444444444,13,7,16.1958475935996,45.8264285714286
"SPY213522",48,11,28,11,0.75,17.4301673864103,2,0,0,3.38292682926829,14,8,17.1897193043657,46.0333333333333
"SPY221739",53,12,31,12,0.586206896551724,18.2640234209302,2,1,0,3.37555555555556,16,9,18.1157049573752,47.3481818181818
"SPY221740",60,12,34,13,0.645161290322581,18.029901115625,2,1,0,3.402,20,9,18.7688257601707,45.4307142857143
