"","R","FD","LFI","Crypto","DeBRa","CTI","Exo","RedList","Chondri","Trophic","Commercial","High_commerc","PD","Vulner"
"SPY200456",60,12,34,17,0.666666666666667,18.6438871375472,2,2,1,3.41296296296296,18,8,20.0233435640081,41.8469230769231
"SPY200465",57,13,33,16,0.514285714285714,18.7006493112,0,1,1,3.425,16,6,20.0886764087626,46.2723529411765
"SPY180625",52,13,32,14,0.666666666666667,19.1358377957447,1,1,0,3.43877551020408,18,9,19.4584261998935,44.1576923076923
"SPY180629",50,13,32,10,0.620689655172414,18.6567965659091,0,1,1,3.47608695652174,18,8,17.1044106928719,43.7408333333333
"SPY181699",46,13,29,12,0.466666666666667,18.7069454704878,0,0,0,3.40232558139535,14,8,17.2548249102086,44.9666666666667
"SPY181824",45,12,31,9,0.692307692307692,18.9433526173171,0,1,0,3.46744186046512,16,9,16.639004371671,47.71
"SPY200788",60,13,32,20,0.461538461538462,18.8372691342593,1,1,0,3.43214285714286,14,8,21.3062949253916,42.81
"SPY200794",44,12,28,10,0.5,18.4292097444737,0,0,0,3.34878048780488,12,7,18.0294199203385,45.8407142857143
"SPY200804",57,11,33,13,0.606060606060606,18.8913617618367,0,0,1,3.39615384615385,16,8,20.4018429446938,42.5247058823529
"SPY200806",58,11,34,14,0.617647058823529,18.6866154407843,0,0,1,3.43888888888889,18,7,20.9633865030149,39.3476470588235
"SPY200457",40,11,22,10,0.727272727272727,18.649759265,0,1,1,3.37567567567568,12,7,14.9671855851674,47.95
"SPY200461",21,8,12,5,0.818181818181818,19.2488159333333,0,0,0,3.29473684210526,7,4,10.1886411618467,41.8757142857143
"SPY200471",28,12,17,6,0.6875,18.2026225645833,0,1,1,3.34615384615385,9,6,9.9897906370643,47.345
"SPY200473",29,12,16,6,0.928571428571429,18.2475843195833,0,0,0,3.33846153846154,10,7,10.758645040216,49.27
"SPY200480",58,13,33,19,0.527777777777778,18.9578322130769,1,0,0,3.3962962962963,16,7,19.161355887725,42.6807142857143
"SPY200481",48,12,28,12,0.533333333333333,19.0197857761364,1,1,0,3.48,14,7,17.2721387636285,38.2215384615385
"SPY201241",51,13,32,12,0.53125,18.9008834993617,1,2,2,3.47916666666667,17,7,16.9710263163621,40.8069230769231
"SPY201247",26,8,15,6,0.315789473684211,18.90362397,0,0,0,3.40416666666667,7,3,11.4057267460769,45.00125
"SPY200455",52,14,29,15,0.441176470588235,18.1109311726087,1,2,1,3.39583333333333,12,6,19.4261881254534,44.261875
"SPY200460",42,11,21,12,0.52,18.667016714,1,0,0,3.39459459459459,9,3,15.4674441704584,50.4683333333333
"SPY181975",30,10,16,9,0.4,18.6701194315385,0,0,0,3.34444444444444,9,4,12.0068341736555,47.1283333333333
"SPY182168",24,10,14,6,0.533333333333333,18.9626170495238,1,1,0,3.32727272727273,9,4,12.9110098499204,50.02
"SPY192279",49,11,28,13,0.483870967741935,18.7040910913953,0,1,0,3.41777777777778,16,7,17.5019618567792,43.2781818181818
"SPY192280",40,10,24,10,0.583333333333333,19.2372041954286,0,0,0,3.44594594594595,14,8,17.3124790154022,40.5753846153846
"SPY192284",51,11,28,16,0.566666666666667,18.6909429925,0,0,0,3.38913043478261,14,8,18.871183023941,46.8769230769231
"SPY192289",40,12,28,7,0.583333333333333,19.2204453374286,0,1,1,3.41621621621622,14,8,13.5199217638759,41.4892307692308
"SPY180630",29,8,11,2,0.9,17.8665145594118,0,0,0,3.31111111111111,8,6,10.3254613971875,47.3216666666667
"SPY180634",33,10,15,3,1,18.3561593131579,0,0,0,3.32857142857143,9,6,9.88878771808611,47.345
"SPY181810",39,9,17,3,1.36363636363636,18.1239934940909,0,0,0,3.308,10,5,11.529023791724,47.615
"SPY181814",39,12,16,4,1,18.0030626295652,0,1,1,3.36,10,6,11.6168556969915,44.8288888888889
"SPY181702",33,10,14,5,1,18.1358913363158,0,0,0,3.30952380952381,8,6,9.7598340920516,49.27
"SPY181703",45,11,17,6,0.733333333333333,18.20399760125,0,0,0,3.36,10,6,10.3316297112007,46.9914285714286
"SPY181704",43,11,18,4,0.923076923076923,18.09809543,0,0,0,3.37083333333333,10,5,9.85874545378939,48.32
"SPY181705",25,10,12,1,1.66666666666667,18.4141273923077,0,1,0,3.26,7,5,6.76737357871196,49.27
"SPY181153",44,13,30,7,0.576923076923077,18.8821042423684,0,1,0,3.4525,13,5,14.6231008661659,46.884
"SPY181808",39,12,25,6,0.608695652173913,19.6443682932353,1,1,0,3.41944444444444,13,8,15.0823782760173,38.4208333333333
"SPY181812",29,10,16,5,0.421052631578947,19.5426220608,0,0,0,3.4,7,2,12.0109971272016,44.496
"SPY181813",14,8,7,2,0.75,18.7801419108333,0,0,0,3.32307692307692,3,2,6.90554398725342,37.34
"SPY181817",30,12,19,10,0.5,18.8846657064286,1,0,0,3.30689655172414,9,5,13.356766448477,47.03
"SPY181827",37,11,20,11,0.7,18.3684439934375,0,0,0,3.37878787878788,11,5,14.2867097623107,44.045
