"R","FD","LFI","Crypto","DeBRa","CTI","Exo","RedList","Chondri","Trophic","Commercial","High_commerc","PD","Vulner"
"Agde_June22",18,7,10,4,0.5,18.3022636107143,0,0,0,3.26428571428571,6,3,7.9720408103883,53.6325
"Agde_October21",43,9,23,10,0.941176470588235,18.4269041019355,1,2,2,3.490625,13,8,14.7853753842319,46.8583333333333
"Cannes_June22",51,10,26,9,0.782608695652174,18.97208344025,0,2,0,3.535,15,7,17.98901785786,40.326
"Cannes_October21",42,11,23,7,0.944444444444444,18.6946950451515,0,1,0,3.45588235294118,16,8,16.5636354379745,43.0928571428571
"La Ciotat_June22",68,14,37,19,0.594594594594595,19.129576695614,1,2,0,3.52931034482759,21,9,20.9473407509252,44.6833333333333
"La Ciotat_October21",61,12,35,13,0.666666666666667,19.1702053872917,0,2,0,3.58775510204082,18,9,20.6183837806922,46.2214285714286
"Marseillan_October21",62,14,31,16,0.5625,17.8429523677551,2,1,0,3.44081632653061,16,9,22.2832141106677,44.9290909090909
"Porquerolles_June22",59,12,32,13,0.666666666666667,18.76272519375,0,2,1,3.58367346938775,17,9,21.9046669674042,46.6009090909091
"Porquerolles_October21",47,12,30,7,0.863636363636364,19.1578115679487,0,1,0,3.5675,18,8,15.8516720827551,47.3344444444444
"Port Vendres_June22",58,11,31,12,0.740740740740741,18.0438487319565,1,1,0,3.51521739130435,17,9,20.5600918287974,43.3825
"Port Vendres_October21",52,11,31,6,1.15789473684211,18.588188701,0,1,1,3.6925,20,11,19.2784076908636,47.9825
"Saintes Maries de la Mer_June22",64,14,32,13,0.580645161290323,17.9563230239583,2,2,1,3.46666666666667,18,8,19.2561580542709,44.01
"Saintes Maries de la Mer_October21",57,12,28,11,0.791666666666667,17.4788675647619,2,3,2,3.5,14,9,19.173369217145,44.1076923076923
