"R","FD","LFI","Crypto","DeBRa","CTI","Exo","RedList","Chondri","Trophic","Commercial","High_commerc","PD","Vulner"
"Agde_June22",18,7,10,4,0.5,18.3022636107143,0,0,0,3.26428571428571,6,3,7.9720408103883,53.6325
"Agde_October21",40,8,20,10,0.875,18.4285245382759,1,1,0,3.38620689655172,12,7,14.6041089227544,46.8583333333333
"Cannes_June22",46,10,25,9,0.695652173913043,18.9769340071053,0,1,0,3.53421052631579,15,7,15.8356102499172,40.326
"Cannes_October21",39,11,22,7,0.833333333333333,18.7320082593548,0,1,0,3.425,15,7,14.3283415011598,43.0928571428571
"La Ciotat_June22",65,14,33,19,0.555555555555556,18.9807599316667,1,2,0,3.48545454545455,20,9,19.8791322500936,42.88
"La Ciotat_October21",57,12,33,13,0.6,18.8649032095652,0,2,0,3.54255319148936,16,8,20.2121588737338,45.3821428571429
"Marseillan_October21",60,14,30,16,0.548387096774194,17.8694654555319,2,1,0,3.42978723404255,15,8,21.2403526881144,44.9290909090909
"Porquerolles_June22",53,11,29,13,0.586206896551724,18.8534004465909,0,2,0,3.52666666666667,16,8,18.4568296160024,46.6009090909091
"Porquerolles_October21",45,12,28,7,0.772727272727273,18.9684347389189,0,1,0,3.51842105263158,16,7,15.418458500978,47.3344444444444
"Port Vendres_June22",52,11,26,13,0.615384615384615,18.0185335114634,1,0,0,3.44634146341463,14,6,18.169292364255,43.3825
"Port Vendres_October21",44,10,23,6,1.0625,18.4110012525,0,0,0,3.496875,14,7,17.0692975364329,47.1654545454545
"Saintes Maries de la Mer_June22",62,13,32,13,0.633333333333333,18.0977829458333,2,1,0,3.45,18,8,19.5546692429588,44.01
"Saintes Maries de la Mer_October21",50,11,25,11,0.695652173913043,17.3905525152632,2,1,0,3.45263157894737,12,7,17.8483915127184,44.1076923076923
