"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Acipenser_sp.",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguilla_sp.",1,0,0,0,0,0,0,0,0,1,3,4,2,0,0,4,0,3,0,0,0,0,0,0,1,0,0,1,1,0,1
"Conger_conger",0,0,0,0,1,0,0,0,0,5,3,2,1,2,3,7,5,11,4,0,2,1,9,12,4,4,12,8,12,11,12
"Muraena_helena",0,0,0,0,9,0,0,0,0,2,4,2,2,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
"Atherina_boyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1,0,0,12,12,12,0,0
"Belone_belone",0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,12,9,12,0,0,0,0,3,2,0,1,1,1,3,0,6
"Cololabis_saira",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aidablennius_sphynx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
"Lipophrys_trigloides",0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,2,0,0,2,0,8,1,2,2,6
"Parablennius_gattorugine",0,0,0,0,0,0,0,0,0,3,3,2,2,1,5,8,4,9,0,0,0,0,0,0,1,0,7,3,5,2,5
"Parablennius_incognitus",0,1,0,0,9,0,2,1,2,0,0,0,0,0,0,2,5,4,1,0,3,0,0,0,1,2,1,0,0,2,3
"Parablennius_pilicornis",0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,6,2,6,0,0,0,0,0,0,2,3,3,2,6,8,12
"Parablennius_rouxi",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Parablennius_zvonimiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2
"Parablennius_incognitus_P_sanguinolentus",1,1,0,0,3,0,2,1,0,2,0,3,3,3,1,5,1,0,0,0,6,4,1,1,1,2,6,5,6,2,7
"Salaria_pavo",2,1,0,1,1,0,2,2,1,0,0,2,1,0,1,3,0,1,0,0,0,0,4,1,8,7,6,8,10,10,10
"Lepadogaster_candolii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Lepadogaster_lepadogaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tripterygion_delaisi",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tripterygion_melanurum",0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tripterygion_tripteronotum",0,1,0,0,6,0,0,0,0,0,4,8,5,4,7,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Seriola_dumerili",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0
"Trachinotus_ovatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Trachurus_picturatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trachurus_sp.",0,2,1,0,1,0,1,6,6,11,7,12,12,10,11,10,3,11,1,1,1,0,12,12,12,12,12,12,12,11,12
"Alosa_sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,12,12,3,1
"Sardina_pilchardus",8,12,0,0,2,3,8,12,12,12,12,4,6,0,3,11,6,12,4,0,2,3,12,12,12,12,12,12,12,11,12
"Sardinella_aurita",0,10,0,0,2,0,3,0,0,12,12,4,5,12,8,8,1,9,2,0,0,2,6,4,0,0,1,0,0,11,12
"Sprattus_sprattus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,7,2,0,1,0,0
"Engraulis_sp.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprininae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Leuciscinae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Rutilus_rutilus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gambusia_holbrooki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,1,0,0
"Gadidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Trisopterus_capelanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Gaidropsarus_mediterraneus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merluccius_merluccius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0
"Aphia_minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,5,0,0
"Gammogobius_steinitzi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gobius_ater",1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1
"Gobius_bucchichi",1,1,0,0,2,1,1,0,0,1,5,2,1,5,4,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0
"Gobius_cobitis",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,6,3,1,0,3,2,0,0,0,0,7,1,5,3,6
"Gobius_cruentatus",0,0,0,0,2,0,1,4,3,10,9,8,5,3,1,5,9,2,9,0,3,4,1,4,2,2,0,0,0,0,0
