"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Acipenser_sp.",0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguilla_sp.",492,0,0,0,0,0,0,0,0,13,81,163,154,0,0,212,0,103,0,0,0,0,0,0,23,0,0,14,13,0,55
"Conger_conger",0,0,0,0,219,0,0,0,0,142,176,269,105,162,957,0,0,0,230,0,0,156,404,0,0,687,0,668,0,0,0
"Muraena_helena",0,0,0,0,789,0,0,0,0,59,190,376,139,0,154,0,0,0,865,0,0,33,0,0,0,0,0,0,0,0,0
"Atherina_boyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,60,0,0,0,0,0,12,0,0,0,0,0,0,0
"Belone_belone",0,124,0,0,81,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,89,27,0,30,47,12,52,0,371
"Cololabis_saira",0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aidablennius_sphynx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,46,0,41,0,0,0,0,0,0,0,0,0,0,0,189,579
"Lipophrys_trigloides",0,0,0,0,0,0,0,0,0,0,23,29,471,0,0,36,137,0,0,0,0,277,0,0,300,0,354,28,101,219,694
"Parablennius_gattorugine",0,0,0,0,0,0,0,0,0,130,162,243,770,113,0,643,656,889,0,0,0,0,0,0,671,0,846,99,478,799,0
"Parablennius_incognitus",0,194,0,0,0,0,93,123,165,0,0,0,0,0,0,108,796,314,87,0,388,0,0,0,35,83,12,0,0,165,275
"Parablennius_pilicornis",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,879,700,562,0,0,0,0,0,0,0,564,169,56,0,0,0
