"Class","Order","Family","scientific_name"
"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser sp."
"Actinopteri","Anguilliformes","Anguillidae","Anguilla sp."
"Actinopteri","Anguilliformes","Congridae","Conger conger"
"Actinopteri","Anguilliformes","Muraenidae","Muraena helena"
"Actinopteri","Atheriniformes","Atherinidae","Atherina boyeri"
"Actinopteri","Beloniformes","Belonidae","Belone belone"
"Actinopteri","Beloniformes","Belonidae","Cololabis saira"
"Actinopteri","Blenniiformes","Blenniidae","Aidablennius sphynx"
"Actinopteri","Blenniiformes","Blenniidae","Lipophrys trigloides"
"Actinopteri","Blenniiformes","Blenniidae","Parablennius gattorugine"
"Actinopteri","Blenniiformes","Blenniidae","Parablennius incognitus"
"Actinopteri","Blenniiformes","Blenniidae","Parablennius pilicornis"
"Actinopteri","Blenniiformes","Blenniidae","Parablennius rouxi"
"Actinopteri","Blenniiformes","Blenniidae","Parablennius zvonimiri"
"Actinopteri","Blenniiformes","Blenniidae","Parablennius_incognitus_P_sanguinolentus"
"Actinopteri","Blenniiformes","Blenniidae","Salaria pavo"
"Actinopteri","Blenniiformes","Gobiesocidae","Lepadogaster candolii"
"Actinopteri","Blenniiformes","Gobiesocidae","Lepadogaster lepadogaster"
"Actinopteri","Blenniiformes","Tripterygiidae","Tripterygion delaisi"
"Actinopteri","Blenniiformes","Tripterygiidae","Tripterygion melanurum"
"Actinopteri","Blenniiformes","Tripterygiidae","Tripterygion tripteronotum"
"Actinopteri","Carangiformes","Carangidae","Seriola dumerili"
"Actinopteri","Carangiformes","Carangidae","Trachinotus ovatus"
"Actinopteri","Carangiformes","Carangidae","Trachurus picturatus"
"Actinopteri","Carangiformes","Carangidae","Trachurus sp."
"Actinopteri","Clupeiformes","Clupeidae","Alosa sp."
"Actinopteri","Clupeiformes","Clupeidae","Sardina pilchardus"
"Actinopteri","Clupeiformes","Clupeidae","Sardinella aurita"
"Actinopteri","Clupeiformes","Clupeidae","Sprattus sprattus"
"Actinopteri","Clupeiformes","Engraulidae","Engraulis encrasicolus"
"Actinopteri","Clupeiformes","Engraulidae","Engraulis encrasicolus"
"Actinopteri","Clupeiformes","Engraulidae","Engraulis sp."
"Actinopteri","Cypriniformes","Cyprinidae","Cyprininae"
"Actinopteri","Cypriniformes","Leuciscidae","Leuciscinae"
"Actinopteri","Cypriniformes","Leuciscidae","Rutilus rutilus"
"Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia holbrooki"
"Actinopteri","Gadiformes","Gadidae","Gadidae"
"Actinopteri","Gadiformes","Gadidae","Trisopterus capelanus"
"Actinopteri","Gadiformes","Gaidropsaridae","Gaidropsarus mediterraneus"
"Actinopteri","Gadiformes","Merlucciidae","Merluccius merluccius"
"Actinopteri","Gobiiformes","Gobiidae","Aphia minuta"
"Actinopteri","Gobiiformes","Gobiidae","Gammogobius steinitzi"
"Actinopteri","Gobiiformes","Gobiidae","Gobius ater"
"Actinopteri","Gobiiformes","Gobiidae","Gobius bucchichi"
"Actinopteri","Gobiiformes","Gobiidae","Gobius cobitis"
"Actinopteri","Gobiiformes","Gobiidae","Gobius cruentatus"
"Actinopteri","Gobiiformes","Gobiidae","Gobius niger"
"Actinopteri","Gobiiformes","Gobiidae","Gobius xanthocephalus"
"Actinopteri","Gobiiformes","Gobiidae","Millerigobius macrocephalus"
"Actinopteri","Gobiiformes","Gobiidae","Odondebuenia balearica"
"Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus microps"
"Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus minutus"
"Actinopteri","Gobiiformes","Gobiidae","Zebrus zebrus"
"Actinopteri","Gobiiformes","Gobiidae","Zosterisessor ophiocephalus"
"Actinopteri","Istiophoriformes","Xiphiidae","Xiphias gladius"
"Actinopteri","Kurtiformes","Apogonidae","Apogon imberbis"
"Actinopteri","Labriformes","Labridae","Coris julis"
"Actinopteri","Labriformes","Labridae","Ctenolabrus rupestris"
"Actinopteri","Labriformes","Labridae","Labrus_merula_Labrus_viridis"
"Actinopteri","Labriformes","Labridae","Symphodus bailloni"
"Actinopteri","Labriformes","Labridae","Symphodus ocellatus"
"Actinopteri","Labriformes","Labridae","Symphodus sp."
"Actinopteri","Labriformes","Labridae","Symphodus tinca"
"Actinopteri","Labriformes","Labridae","Thalassoma pavo"
"Actinopteri","Lophiiformes","Lophiidae","Lophius budegassa"
"Actinopteri","Lophiiformes","Lophiidae","Lophius piscatorius"
"Actinopteri","Lutjaniformes","Haemulidae","Pomadasys incisus"
"Actinopteri","Mugiliformes","Mugilidae","Chelon auratus"
"Actinopteri","Mugiliformes","Mugilidae","Chelon labrosus"
"Actinopteri","Mugiliformes","Mugilidae","Chelon ramada"
"Actinopteri","Mugiliformes","Mugilidae","Mugil sp."
"Actinopteri","Mugiliformes","Mugilidae","Oedalechilus labeo"
"Actinopteri","Myctophiformes","Myctophidae","Myctophum punctatum"
"Actinopteri","Perciformes","Percidae","Sander sp."
"Actinopteri","Perciformes","Scorpaenidae","Scorpaena notata"
"Actinopteri","Perciformes","Scorpaenidae","Scorpaena porcus"
"Actinopteri","Perciformes","Scorpaenidae","Scorpaena scrofa"
"Actinopteri","Perciformes","Serranidae","Anthias anthias"
"Actinopteri","Perciformes","Serranidae","Epinephelus marginatus"
"Actinopteri","Perciformes","Serranidae","Serranus cabrilla"
"Actinopteri","Perciformes","Serranidae","Serranus hepatus"
"Actinopteri","Perciformes","Serranidae","Serranus scriba"
"Actinopteri","Perciformes","Triglidae","C. lucerna_L. dieuzeidei"
"Actinopteri","Perciformes","Triglidae","C. obscurus_T. lastoviza"
"Actinopteri","Perciformes","Triglidae","E. gurnardus_T. lyra"
"Actinopteri","Pleuronectiformes","Bothidae","Arnoglossus laterna"
"Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectidae"
"Actinopteri","Pleuronectiformes","Scophthalmidae","Scophthalmus rhombus"
"Actinopteri","Pleuronectiformes","Soleidae","Pegusa nasuta"
"Actinopteri","Pleuronectiformes","Soleidae","Solea senegalensis"
"Actinopteri","Pleuronectiformes","Soleidae","Solea solea"
"Actinopteri","Salmoniformes","Salmonidae","Salmo salar"
"Actinopteri","Scombriformes","Pomatomidae","Pomatomus saltatrix"
"Actinopteri","Scombriformes","Scombridae","Auxis sp."
"Actinopteri","Scombriformes","Scombridae","Euthynnus alletteratus"
"Actinopteri","Scombriformes","Scombridae","Sarda sarda"
"Actinopteri","Scombriformes","Scombridae","Scomber colias"
"Actinopteri","Scombriformes","Scombridae","Scomber scombrus"
"Actinopteri","Scombriformes","Scombridae","Thunnus thynnus"
"Actinopteri","Siluriformes","Siluridae","Silurus glanis"
"Actinopteri","Spariformes","Centracanthidae","Spicara maena"
"Actinopteri","Spariformes","Centracanthidae","Spicara_flexuosa_S_smaris"
"Actinopteri","Spariformes","Sparidae","B. boops_O. melanura"
"Actinopteri","Spariformes","Sparidae","D. dentex_P. auriga_P. pagrus"
"Actinopteri","Spariformes","Sparidae","Diplodus annularis"
"Actinopteri","Spariformes","Sparidae","Diplodus cervinus"
"Actinopteri","Spariformes","Sparidae","Diplodus puntazzo"
"Actinopteri","Spariformes","Sparidae","Diplodus sargus"
"Actinopteri","Spariformes","Sparidae","Diplodus vulgaris"
"Actinopteri","Spariformes","Sparidae","Lithognathus mormyrus"
"Actinopteri","Spariformes","Sparidae","Pagellus acarne"
"Actinopteri","Spariformes","Sparidae","Pagellus bogaraveo"
"Actinopteri","Spariformes","Sparidae","Pagellus erythrinus"
"Actinopteri","Spariformes","Sparidae","Sarpa salpa"
"Actinopteri","Spariformes","Sparidae","Sparidae"
"Actinopteri","Spariformes","Sparidae","Sparus aurata"
"Actinopteri","Spariformes","Sparidae","Spondyliosoma cantharus"
"Actinopteri","Syngnathiformes","Mullidae","Mullus barbatus"
"Actinopteri","Syngnathiformes","Mullidae","Mullus surmuletus"
"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus acus"
"Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus sp."
"Actinopteri","Tetraodontiformes","Balistidae","Balistes capriscus"
"Actinopteri","Tetraodontiformes","Molidae","Mola mola"
"Actinopteri","Uranoscopiformes","Uranoscopidae","Uranoscopus scaber"
"Actinopteri","Zeiformes","Zeidae","Zeus faber"
"Actinopteri","(vide)","Moronidae","Dicentrarchus labrax"
"Actinopteri","(vide)","Moronidae","Dicentrarchus labrax"
"Actinopteri","(vide)","Pomacentridae","Chromis chromis"
"Actinopteri","(vide)","Sciaenidae","Argyrosomus regius"
"Actinopteri","(vide)","Sciaenidae","Sciaena umbra"
"Actinopteri","(vide)","Sphyraenidae","Sphyraena sphyraena"
"Actinopteri","(vide)","Sphyraenidae","Sphyraena viridensis"
"Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus mustelus"
"Chondrichthyes","Hexanchiformes","Hexanchidae","Hexanchus griseus"
"Chondrichthyes","Rajiformes","Rajidae","Raja undulata"
"Chondrichthyes","Rajiformes","Rajidae","Raja_asterias_Raja_clavata"
"Chondrichthyes","Torpediniformes","Torpedinidae","Tetronarce nobiliana"
"Chondrichthyes","Torpediniformes","Torpedinidae","Torpedo marmorata"
