"Species"
"Anguilla sp."
"Conger conger"
"Muraena helena"
"Atherina boyeri"
"Belone belone"
"Aidablennius sphynx"
"Lipophrys trigloides"
"Parablennius gattorugine"
"Parablennius incognitus"
"Parablennius pilicornis"
"Parablennius rouxi"
"Parablennius zvonimiri"
"Parablennius incognitus P sanguinolentus"
"Salaria pavo"
"Lepadogaster candolii"
"Lepadogaster lepadogaster"
"Tripterygion delaisi"
"Tripterygion delaisi xanthosoma"
"Tripterygion melanurum"
"Tripterygion tripteronotum"
"Trachurus sp."
"Sardina pilchardus"
"Sardinella aurita"
"Sprattus sprattus"
"Engraulis encrasicolus"
"Engraulis sp."
"Gaidropsarus mediterraneus"
"Gobius ater"
"Gobius bucchichi"
"Gobius cobitis"
"Gobius geniporus"
"Gobius niger"
"Gobius paganellus"
"Gobius xanthocephalus"
"Lebetus guilleti"
"Zebrus zebrus"
"Apogon imberbis"
"Coris julis"
"Labridae"
"Labrus sp."
"Labrus merula Labrus viridis"
"Symphodus ocellatus"
"Symphodus sp."
"Symphodus tinca"
"Thalassoma pavo"
"Chelon auratus"
"Chelon labrosus"
"Chelon ramada"
"Mugil sp."
"Oedalechilus labeo"
"Ceratoscopelus maderensis"
"Myctophum punctatum"
"Scorpaena notata"
"Scorpaena porcus"
"Scorpaena scrofa"
"Epinephelus marginatus"
"Serranus cabrilla"
"Serranus hepatus"
"Serranus scriba"
"Scophthalmus rhombus"
"Auxis sp."
"Sarda sarda"
"Sarda sp."
"Scomber colias"
"Scomber scombrus"
"Scomber sp."
"Thunnus thynnus"
"Spicara maena"
"Spicara flexuosa S maena"
"B. boops O. melanura"
"Boops boops"
"D. dentex P. auriga P. pagrus"
"Diplodus annularis"
"Diplodus cervinus"
"Diplodus puntazzo"
"Diplodus sargus"
"Diplodus vulgaris"
"Lithognathus mormyrus"
"Pagellus acarne"
"Pagellus bogaraveo"
"Pagellus erythrinus"
"Sarpa salpa"
"Sparidae"
"Sparus aurata"
"Spondyliosoma cantharus"
"Mullus barbatus"
"Mullus surmuletus"
"Mola mola"
"Gymnammodytes semisquamatus"
"Uranoscopus scaber"
"Dicentrarchus labrax"
"Chromis chromis"
"Sciaena umbra"
"Sphyraena viridensis"
"Scyliorhinus stellaris"
"Dasyatis marmorata"
"Myliobatis aquila"
"Torpedo marmorata"
"Synodus saurus"
"C. heterurus H. speculiger"
"Seriola dumerili"
"Trachurus picturatus"
"Millerigobius macrocephalus"
"Odondebuenia balearica"
"Xiphias gladius"
"Ctenolabrus rupestris"
"Symphodus bailloni"
"Lophius budegassa"
"Anthias anthias"
"Pegusa nasuta"
"Solea senegalensis"
"Euthynnus alletteratus"
"Nerophis maculatus"
"Syngnathus sp."
"Sphyraena sphyraena"
"Aetomylaeus bovinus"
