"Port_only","Reserve_only","Lockdown_only"
"Acipenser sp.","Gobiesocidae","Gobius geniporus"
"Trachinotus ovatus","Chelidonichthys sp.","Lebetus guilleti"
"Alosa sp.","Boops sp.","Ceratoscopelus maderensis"
"Cyprininae","Sphyraenidae","Sarda sp."
"Leuciscinae","Mobula mobular","Gymnammodytes semisquamatus"
"Rutilus rutilus","Lebetus guilleti","Scyliorhinus stellaris"
"Gambusia holbrooki","Sarda sp.","Dasyatis marmorata"
"Gadidae","Gymnammodytes semisquamatus","Myliobatis aquila"
"Trisopterus capelanus","Scyliorhinus stellaris","Nerophis maculatus"
"Aphia minuta","Dasyatis marmorata","Aetomylaeus bovinus"
"Gammogobius steinitzi",NA,NA
"Pomatoschistus minutus",NA,NA
"Zosterisessor ophiocephalus",NA,NA
"Lophius piscatorius",NA,NA
"Pomadasys incisus",NA,NA
"Sander sp.",NA,NA
"C. obscurus T. lastoviza",NA,NA
"E. gurnardus T. lyra",NA,NA
"Arnoglossus laterna",NA,NA
"Pleuronectidae",NA,NA
"Solea solea",NA,NA
"Salmo salar",NA,NA
"Silurus glanis",NA,NA
"Spicara flexuosa S smaris",NA,NA
"Syngnathus acus",NA,NA
"Balistes capriscus",NA,NA
"Zeus faber",NA,NA
"Argyrosomus regius",NA,NA
"Mustelus mustelus",NA,NA
"Hexanchus griseus",NA,NA
"Raja undulata",NA,NA
"Raja asterias Raja clavata",NA,NA
"Tetronarce nobiliana",NA,NA
