"Species"
"Conger conger"
"Muraena helena"
"Muraenidae"
"Atherina boyeri"
"Synodus saurus"
"Belone belone"
"Cololabis saira"
"C. heterurus H. speculiger"
"Aidablennius sphynx"
"Blenniidae"
"Lipophrys trigloides"
"Parablennius gattorugine"
"Parablennius incognitus"
"Parablennius pilicornis"
"Parablennius rouxi"
"Parablennius zvonimiri"
"Gobiesocidae"
"Lepadogaster candolii"
"Lepadogaster lepadogaster"
"Tripterygion delaisi"
"Tripterygion melanurum"
"Tripterygion tripteronotum"
"Trachurus sp."
"Sardina pilchardus"
"Sardina sp."
"Sardinella aurita"
"Sardinella sp."
"Engraulis encrasicolus"
"Engraulis sp."
"Merluccius merluccius"
"Gobiidae"
"Gobius bucchichi"
"Gobius niger"
"Gobius paganellus"
"Gobius xanthocephalus"
"Pomatoschistus microps"
"Zebrus zebrus"
"Xiphias gladius"
"Apogon imberbis"
"Coris julis"
"Labrus sp."
"Labrus merula Labrus viridis"
"Symphodus ocellatus"
"Symphodus sp."
"Symphodus tinca"
"Thalassoma pavo"
"Thalassoma sp."
"Chelon auratus"
"Chelon labrosus"
"Chelon ramada"
"Chelon sp."
"Mugilidae"
"Oedalechilus labeo"
"Oedalechilus sp."
"Myctophum punctatum"
"Scorpaena porcus"
"Scorpaena scrofa"
"Anthias anthias"
"Epinephelus marginatus"
"Serranus cabrilla"
"Serranus hepatus"
"Serranus scriba"
"C. lucerna L. dieuzeidei"
"Chelidonichthys sp."
"Pomatomus saltatrix"
"Sarda sarda"
"Scomber colias"
"Scomber sp."
"Spicara maena"
"B. boops O. melanura"
"Boops boops"
"Boops sp."
"D. dentex P. auriga P. pagrus"
"Diplodus annularis"
"Diplodus cervinus"
"Diplodus puntazzo"
"Diplodus sargus"
"Diplodus sp."
"Diplodus vulgaris"
"Lithognathus mormyrus"
"Pagellus bogaraveo"
"Pagellus erythrinus"
"Sarpa salpa"
"Sparidae"
"Sparus aurata"
"Sparus sp."
"Spondyliosoma cantharus"
"Spariformes"
"Mullidae"
"Mullus barbatus"
"Mullus surmuletus"
"Syngnathus sp."
"Uranoscopus scaber"
"Dicentrarchus labrax"
"Dicentrarchus sp."
"Pomacanthidae"
"Chromis chromis"
"Pomacentridae"
"Sciaena umbra"
"Sphyraenidae"
"Mobula mobular"
"Torpedo marmorata"
"Anguilla sp."
"Parablennius incognitus P sanguinolentus"
"Salaria pavo"
"Tripterygion delaisi xanthosoma"
"Sprattus sprattus"
"Gaidropsarus mediterraneus"
"Gobius ater"
"Gobius cobitis"
"Gobius geniporus"
"Lebetus guilleti"
"Labridae"
"Mugil sp."
"Ceratoscopelus maderensis"
"Scorpaena notata"
"Scophthalmus rhombus"
"Auxis sp."
"Sarda sp."
"Scomber scombrus"
"Thunnus thynnus"
"Spicara flexuosa S maena"
"Pagellus acarne"
"Mola mola"
"Gymnammodytes semisquamatus"
"Sphyraena viridensis"
"Scyliorhinus stellaris"
"Dasyatis marmorata"
"Myliobatis aquila"
