"Species","Cryptic","Commercial","Threatened","In port (according to expert)","In port","In reserve","During lockdown"
"Anguilla sp.",NA,NA,NA,1,1,1,1
"Conger conger",0,0,0,1,1,1,1
"Muraena helena",0,0,0,1,1,1,1
"Atherina boyeri",0,0,0,1,1,1,1
"Belone belone",0,0,0,1,1,1,1
"Aidablennius sphynx",1,0,0,1,1,1,1
"Lipophrys trigloides",0,0,0,1,1,1,1
"Parablennius gattorugine",0,0,0,1,1,1,1
"Parablennius incognitus",1,0,0,1,1,1,1
"Parablennius pilicornis",1,0,0,1,1,1,1
"Parablennius rouxi",1,0,0,1,1,1,1
"Parablennius zvonimiri",1,0,0,1,1,1,1
"Parablennius incognitus P sanguinolentus",NA,NA,NA,1,1,1,1
"Salaria pavo",0,0,0,1,1,1,1
"Lepadogaster candolii",1,0,NA,1,1,1,1
"Tripterygion delaisi",1,0,0,1,1,1,1
"Tripterygion melanurum",1,0,0,1,1,1,1
"Tripterygion tripteronotum",1,0,0,1,1,1,1
"Seriola dumerili",0,0,0,1,1,0,1
"Trachurus sp.",0,0,NA,1,1,1,1
"Alosa sp.",NA,NA,NA,1,2,0,NA
"Sardina pilchardus",0,1,0,1,1,1,1
"Sardinella aurita",0,1,0,1,1,1,1
"Gadidae",NA,NA,NA,1,2,0,NA
"Aphia minuta",0,0,NA,1,2,0,NA
"Gobius ater",1,0,0,1,1,1,1
"Gobius bucchichi",1,0,0,1,1,1,1
"Gobius cobitis",0,0,NA,1,1,1,1
"Gobius cruentatus",0,0,0,1,1,0,0
"Gobius niger",0,0,0,1,1,1,1
"Gobius xanthocephalus",0,0,0,1,1,1,1
"Millerigobius macrocephalus",1,0,0,1,1,0,1
"Pomatoschistus microps",1,0,0,1,1,1,0
"Pomatoschistus minutus",1,0,0,1,2,0,NA
"Zebrus zebrus",1,0,0,1,1,1,1
"Zosterisessor ophiocephalus",0,0,NA,1,2,0,NA
"Apogon imberbis",0,0,0,1,1,1,1
"Coris julis",0,0,0,1,1,1,1
"Ctenolabrus rupestris",0,0,0,1,1,0,1
"Labrus merula Labrus viridis",NA,NA,NA,1,1,1,1
"Symphodus bailloni",0,0,0,1,1,0,1
"Symphodus ocellatus",1,0,0,1,1,1,1
"Symphodus sp.",0,0,0,1,1,1,1
"Symphodus tinca",0,1,0,1,1,1,1
"Thalassoma pavo",0,0,0,1,1,1,1
"Chelon auratus",0,0,0,1,1,1,1
"Chelon labrosus",0,0,0,1,1,1,1
"Chelon ramada",0,0,0,1,1,1,1
"Mugil sp.",NA,NA,NA,1,1,1,1
"Oedalechilus labeo",0,0,NA,1,1,1,1
"Scorpaena notata",0,0,0,1,1,1,1
"Scorpaena porcus",0,0,0,1,1,1,1
"Scorpaena scrofa",0,1,0,1,1,1,1
"Epinephelus marginatus",0,1,1,1,1,1,1
"Serranus cabrilla",0,0,0,1,1,1,1
"Serranus hepatus",0,0,0,1,1,1,1
"Serranus scriba",0,0,0,1,1,1,1
"C. lucerna L. dieuzeidei",NA,NA,NA,1,1,1,0
"C. obscurus T. lastoviza",NA,NA,NA,1,2,0,NA
"Arnoglossus laterna",0,0,0,1,2,0,NA
"Pleuronectidae",NA,NA,NA,1,2,0,NA
"Scophthalmus rhombus",0,1,0,1,1,1,1
"Pegusa nasuta",0,0,NA,1,1,0,1
"Solea senegalensis",0,0,0,1,1,0,1
"Solea solea",0,0,0,1,2,0,NA
"Pomatomus saltatrix",0,1,1,1,1,1,0
"Scomber colias",0,1,0,1,1,1,1
"Scomber scombrus",0,1,0,1,1,1,1
"Spicara maena",0,0,0,1,1,1,1
"Spicara flexuosa S smaris",NA,NA,NA,1,2,0,NA
"B. boops O. melanura",NA,NA,NA,1,1,1,1
"D. dentex P. auriga P. pagrus",NA,NA,NA,1,1,1,1
"Diplodus annularis",0,0,0,1,1,1,1
"Diplodus puntazzo",0,1,0,1,1,1,1
"Diplodus sargus",0,1,0,1,1,1,1
"Diplodus vulgaris",0,1,0,1,1,1,1
"Lithognathus mormyrus",0,1,0,1,1,1,1
"Pagellus acarne",0,1,0,1,1,1,1
"Pagellus bogaraveo",0,1,0,1,1,1,1
"Pagellus erythrinus",0,1,0,1,1,1,1
"Sarpa salpa",0,0,0,1,1,1,1
"Sparus aurata",0,1,0,1,1,1,1
"Spondyliosoma cantharus",0,1,0,1,1,1,1
"Mullus barbatus",0,1,0,1,1,1,1
"Mullus surmuletus",0,1,0,1,1,1,1
"Syngnathus acus",0,0,0,1,2,0,NA
"Syngnathus sp.",0,0,0,1,1,1,1
"Balistes capriscus",0,0,1,1,2,0,NA
"Zeus faber",0,1,0,1,2,0,NA
"Chromis chromis",0,0,0,1,1,1,1
"Sciaena umbra",0,1,0,1,1,1,1
"Sphyraena sphyraena",0,1,0,1,1,0,1
"Sphyraena viridensis",0,0,0,1,1,1,1
"Raja asterias Raja clavata",NA,NA,NA,1,2,0,NA
"Engraulis encrasicolus",0,1,0,1,1,1,1
"Dicentrarchus labrax",0,1,0,1,1,1,1
"Acipenser sp.",NA,NA,NA,0,2,0,NA
"Trachurus picturatus",0,0,0,0,1,0,1
"Sprattus sprattus",0,0,0,0,1,1,1
"Cyprininae",NA,NA,NA,0,2,0,NA
"Leuciscinae",NA,NA,NA,0,2,0,NA
"Rutilus rutilus",NA,NA,NA,0,2,0,NA
"Gambusia holbrooki",NA,NA,NA,0,2,0,NA
"Trisopterus capelanus",0,1,0,0,2,0,NA
"Merluccius merluccius",0,1,0,0,1,1,0
"Xiphias gladius",0,1,0,0,1,1,1
"Lophius budegassa",0,1,0,0,1,0,1
"Lophius piscatorius",0,0,0,0,2,0,NA
"Myctophum punctatum",0,0,0,0,1,1,1
"Sander sp.",NA,NA,NA,0,2,0,NA
"Anthias anthias",0,0,0,0,1,1,1
"E. gurnardus T. lyra",NA,NA,NA,0,2,0,NA
"Salmo salar",NA,NA,NA,0,2,0,NA
"Auxis sp.",NA,NA,NA,0,1,1,1
"Euthynnus alletteratus",0,1,0,0,1,0,1
"Sarda sarda",0,1,0,0,1,1,1
"Thunnus thynnus",0,1,0,0,1,1,1
"Mola mola",0,0,1,0,1,1,1
"Mustelus mustelus",0,1,1,0,2,0,NA
