"scientific_name","SPY213513","SPY213520","SPY221741","SPY221742","SPY213515","SPY213512","SPY213516","SPY221745","SPY221746","SPY213514","SPY213517","SPY221749","SPY221750","SPY221751","SPY221753","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY221747","SPY221748","SPY213523","SPY213525","SPY221743","SPY221744","SPY213518","SPY213521","SPY213522","SPY221739","SPY221740"
"Ariosoma balearicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
"Conger myriaster",0,94,0,0,77,0,0,197,0,383,476,86,217,0,0,0,0,0,96,0,0,0,693,0,0,65,0,0,0,0,0
"Conger sp.",0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,22,0,27,0,0,0,0,0,13,0,0,37,41,16,79,42
"Gymnothorax sp.",0,694,0,0,0,0,0,0,0,729,936,0,0,362,0,0,0,0,416,420,33,123,342,0,0,81,680,0,743,0,309
"Muraena lentiginosa",0,0,0,0,0,766,0,0,191,311,0,0,0,0,0,0,0,0,477,653,0,0,0,0,0,0,0,0,0,0,0
"Muraeninae",0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echelus myrus",0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophichthinae",0,0,0,0,490,0,350,0,0,139,0,32,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,91,0,0,0
"Xyrias revulsus",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serrivomer beanii",0,199,0,0,0,0,0,189,0,830,262,0,0,21,0,0,0,0,105,0,0,0,0,0,0,0,131,227,245,78,247
"Anguilliformes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,256,0,0,0,0,0,0,266,17,562,23,27
"Atherina boyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alepisauroidei",0,0,0,0,0,0,0,0,0,0,0,0,0,281,35,0,0,0,48,0,0,0,0,0,56,0,0,0,0,0,0
"Cololabis saira",0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tylosurus acus melanotus",0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudocrenilabrinae",0,0,0,0,0,0,0,0,0,0,12,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sardina pilchardus",0,0,0,0,0,0,412,0,0,0,0,104,0,0,0,0,0,0,0,692,79,0,0,0,0,0,0,0,0,0,0
"Gambusia sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,119,0,0,0,0,47,0,0,0,0
"Poropanchax normani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merluccius sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,91,0,362,0,0,0,0,0
"Benthophilinae",0,217,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,0,250,0,79,523,0,0,0,47,0,0
"Gobiidae",495,75,80,0,0,680,620,0,797,0,0,0,0,0,0,0,0,0,0,0,977,0,150,109,661,374,0,0,0,0,0
"Gobiinae",0,0,0,0,0,30,522,0,0,0,0,0,0,0,0,0,0,0,0,0,596,599,0,0,11,132,0,0,0,0,0
"Gobioidei",46,0,0,0,0,0,0,0,0,0,0,0,49,0,11,26,0,231,0,0,0,0,0,0,0,0,0,276,133,0,0
"Jaydia sp.",0,0,0,0,657,64,0,0,0,48,206,203,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lophiidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,25,106,0,155,220,59,0,104,0,0
"Lophius budegassa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,699,0,0,117,0,0,0,0,213,0,0,0,0,0
"Lutjanus madras",383,12,0,25,165,118,0,140,41,0,0,0,0,0,0,0,26,0,51,56,0,0,53,0,49,11,42,72,54,40,11
"Mugil sp.",0,0,0,0,0,0,0,0,0,92,0,0,0,0,260,0,746,890,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mugilidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notoscopelus elongatus",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scorpaena porcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,376,96,0,0,0,0,132
"Scorpaena sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0
"Scorpaeninae",0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
"Scorpaenopsis sp.",0,0,0,0,0,0,0,175,0,722,67,62,0,57,0,0,0,20,0,0,0,0,0,33,0,0,827,311,0,0,0
"Centropristis striata",0,0,0,0,219,0,0,84,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epinephelini",0,0,0,0,0,0,47,0,0,84,0,164,89,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inimicus didactylus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnoglossus laterna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,72,0,0,0,0,0,0,0,67,52,0,0,0,0
"Pseudorhombus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Solea senegalensis",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,0
"Solea sp.",0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,100,178,0,946,476,654,0,0
"Pomatomus saltatrix",0,641,0,0,0,0,0,0,0,955,918,161,0,20,0,103,0,0,129,0,426,369,24,0,0,0,247,78,0,0,0
"Pomatomus sp.",29,0,0,0,0,16,0,0,42,19,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
