Nom du site;;;; Agde Port ; Agde Port ; Cannes Port ; Cannes Port ; La Ciotat Port Zone 1 ; La Ciotat Port Zone 1 ; La Ciotat Port Zone 2 ; La Ciotat Port Zone 2 ; Porquerolles Port  ; Porquerolles Port  ; Port Vendre Port ; Port Vendre Port ; SMM Port  ; SMM Port  
kingdom;phylum;class;order; SPY221741 ; SPY221742 ; SPY221745 ; SPY221746 ; SPY221749 ; SPY221750 ; SPY221751 ; SPY221753 ; SPY221747 ; SPY221748 ; SPY221743 ; SPY221744 ; SPY221739 ; SPY221740 
Chromista;Apicomplexa;Conoidasida;Eugregarinorida; 18 ; 17 ;;; 15 ;;;;;;;;;
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;;;;;;;;; 59 ; 139 ; 23 ; 22 ; 495 ; 1 299 
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;;;;;;;;;; 15 ;;; 16 ; 20 
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales; 332 ; 309 ; 76 ; 176 ; 109 ; 116 ; 11 ; 12 ; 20 ; 17 ; 671 ; 614 ; 4 891 ; 11 761 
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;;;;;;;;;;; 13 ; 24 ; 20 ; 49 
Chromista;Bacillariophyta;Coscinodiscophyceae;Melosirales;;;;; 11 ;;; 12 ; 28 ;;;;;
Chromista;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;;;;;;;;;;; 37 ; 52 ; 29 ; 100 
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales; 249 ; 780 ;; 42 ;;;;; 10 402 ; 13 669 ; 31 ; 29 ; 3 336 ; 6 148 
Chromista;Bacillariophyta;Coscinodiscophyceae;-;;;;;;;;;;; 17 ;; 37 ; 39 
Chromista;Bacillariophyta;Mediophyceae;Cymatosirales;;;;;;;;;;;;; 15 ;
Chromista;Bacillariophyta;Mediophyceae;Hemiaulales;;;;;;;;;;;;;; 17 
Chromista;Bacillariophyta;Mediophyceae;Triceratiales;;;;; 17 ;;;;;;;;;
Chromista;Bigyra;Bigyra;Thraustochytrida; 12 ; 23 ;;; 424 ; 251 ; 152 ; 116 ; 11 ; 91 ;;; 17 ; 54 
Chromista;Ciliophora;Heterotrichea;Heterotrichida;;;;;;; 19 ; 16 ;;;;;;
Chromista;Ciliophora;Litostomatea;Cyclotrichida;;;;; 961 ; 852 ;;;;;;; 57 ; 110 
Chromista;Ciliophora;Litostomatea;Haptorida;;;; 14 ; 77 ; 89 ; 96 ; 115 ;;;;;;
Chromista;Ciliophora;Oligohymenophorea;Philasterida;;;;;;;;;;;;; 14 ;
Chromista;Ciliophora;Oligohymenophorea;Sessilida;;;;;;;; 11 ;;;;;;
Chromista;Ciliophora;Prostomatea;Prorodontida;;;;;;;; 41 ;;;;; 97 ; 76 
Chromista;Ciliophora;Spirotrichea;Choreotrichida; 147 ; 235 ; 702 ; 1 186 ;; 21 ; 14 ; 52 ;;;;; 229 ; 386 
Chromista;Ciliophora;Spirotrichea;Tintinnida; 532 ; 1 772 ; 1 028 ; 1 508 ; 1 068 ; 750 ; 92 ; 220 ; 1 953 ; 2 852 ; 1 580 ; 984 ; 3 798 ; 2 633 
Chromista;Ciliophora;Spirotrichea;Urostylida;;;; 22 ;;;;;;;;; 18 ; 19 
Chromista;Ciliophora;Spirotrichea;-; 202 ; 475 ; 2 531 ; 5 065 ; 8 681 ; 11 649 ; 10 543 ; 14 484 ; 2 268 ; 2 811 ; 1 286 ; 1 076 ; 12 283 ; 10 244 
Chromista;Cryptophyta;Cryptophyceae;Cryptomonadales; 158 ; 476 ; 104 ; 134 ; 3 558 ; 4 009 ; 650 ; 569 ; 123 ; 253 ;;; 27 ; 19 
Chromista;Cryptophyta;Cryptophyceae;Kathablepharidacea;;;;; 26 ; 28 ;; 11 ;;; 85 ; 69 ; 22 ; 73 
Chromista;Cryptophyta;Cryptophyceae;Pyrenomonadales; 1 275 ; 2 989 ; 3 969 ; 6 114 ; 12 670 ; 13 290 ; 5 344 ; 5 031 ; 10 991 ; 11 072 ; 188 ; 164 ; 10 702 ; 8 358 
Chromista;Cryptophyta;Cryptophyceae;-; 114 ; 374 ; 562 ; 1 587 ; 2 859 ; 2 668 ; 1 299 ; 1 204 ; 1 337 ; 1 587 ; 25 ;; 702 ; 667 
