kingdom;phylum;class;order;Banyuls;;Calanques;Calanques;Calvi;Calvi;Cap Roux;Cap Roux;Porquerolles;Porquerolles;St Florent;St Florent
;;;;SPY200468;SPY200474;SPY181699;SPY192310;SPY181149;SPY181150;SPY200806;SPY200807;SPY201239;SPY201241;SPY201216;SPY201263
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;28;206;21;165;39;22;;26;;;180;768
Chromista;Bacillariophyta;Bacillariophyceae;Mastogloiales;;;;;;;;;;;15;92
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;26;180;;;;;12;28;18;15;43;555
Chromista;Bacillariophyta;Bacillariophyceae;;;;;;;;;;;;15;14
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;2907;39204;358;2976;65;36;148;600;135;113;76;235
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;;;;;;;31;74;;;;
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;;;;;;;;36;;;;
Chromista;Bacillariophyta;Coscinodiscophyceae;Melosirales;;;;;;;15;82;99;99;39;94
Chromista;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;51;387;25;141;13;;28;125;;;27;63
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;18;105;;74;346;177;38;364;320;236;501;938
Chromista;Bacillariophyta;Coscinodiscophyceae;;;;;51;;;46;247;207;177;16;43
Chromista;Bacillariophyta;Fragilariophyceae;Fragilariales;;16;;;;;;;17;16;;19
Chromista;Bacillariophyta;Fragilariophyceae;Licmophorales;;17;;47;;;;13;33;42;86;466
Chromista;Bacillariophyta;Fragilariophyceae;Striatellales;;;;;;;;;;;;132
Chromista;Bacillariophyta;Fragilariophyceae;;;;;;;;;;;;;11
Chromista;Bacillariophyta;;;;;;;;;;;;;32;140
Chromista;Cercozoa;Thecofilosea;Cryomonadida;;13;;22;12;;15;87;56;115;;
Chromista;Cercozoa;Thecofilosea;Tectofilosida;;57;;;;;;;;;;
Chromista;Cercozoa;Thecofilosea;Ventricleftida;;;;;;;;;;;15;98
Chromista;Cercozoa;Thecofilosea;;11;148;;;;;;;;;;
Chromista;Cercozoa;;Cercomonadida;36;198;15;89;;;;;;;;
Chromista;Cercozoa;;Thaumatomonadida;;31;;14;;;;56;;;;64
Chromista;Ciliophora;Colpodea;;;;;;27;16;;;;;;15
Chromista;Ciliophora;Litostomatea;Cyclotrichida;;;11;171;;;;;59;66;;
Chromista;Ciliophora;Litostomatea;Haptorida;;;;;27;;;;;;;20
Chromista;Ciliophora;Litostomatea;Pleurostomatida;;;;;;;;;;;;71
Chromista;Ciliophora;Nassophorea;Nassulida;;;;;;;;;;;;39
Chromista;Ciliophora;Oligohymenophorea;Philasterida;;;;;;;;;;15;;25
Chromista;Ciliophora;Oligohymenophorea;Sessilida;;;;27;;;;;;;;
Chromista;Ciliophora;Prostomatea;Prorodontida;;;;67;42;12;;83;192;209;15;51
Chromista;Ciliophora;Spirotrichea;Choreotrichida;;23;26;265;203;203;18;108;167;102;316;382
Chromista;Ciliophora;Spirotrichea;Tintinnida;;24;;34;209;70;154;607;41;30;84;134
Chromista;Ciliophora;Spirotrichea;Urostylida;;;;17;;;;;;;;14
Chromista;Ciliophora;Spirotrichea;;46;599;195;2386;1523;860;744;2828;1844;1182;296;508
Chromista;Cryptophyta;Chrysophyceae;Chromulinales;;;;48;27;28;56;227;181;124;31;52
Chromista;Cryptophyta;Chrysophyceae;;;;;;41;22;20;80;22;35;;
Chromista;Cryptophyta;Cryptophyceae;Cryptomonadales;;;;;;;;27;;;;
Chromista;Cryptophyta;Cryptophyceae;Kathablepharidacea;;126;;102;573;274;99;336;237;204;216;423
Chromista;Cryptophyta;Cryptophyceae;Pyrenomonadales;;42;89;941;636;317;1008;4382;1450;1140;139;239
Chromista;Cryptophyta;Cryptophyceae;;;;;96;78;44;100;671;276;93;;31
Chromista;Foraminifera;;Rotaliida;;;;;;;;12;;;36;366
Chromista;Haptista;Centroplasthelida;Pterocystida;;29;25;247;665;271;87;330;544;496;87;111
Chromista;Haptista;Haptophyta;Isochrysidales;;27;;;86;33;17;28;66;74;89;142
Chromista;Haptista;Haptophyta;Phaeocystales;14;58;75;710;1380;627;575;2516;2157;1691;149;318
Chromista;Haptista;Haptophyta;Prymnesiales;21;366;173;2320;9977;4382;1423;7069;6265;5559;1485;3492
Chromista;Haptista;Haptophyta;Syracosphaerales;;;;89;425;198;46;272;500;462;121;293
Chromista;Haptista;Haptophyta;Zygodiscales;;;;20;;;;18;42;36;21;49
Chromista;Imbricatea;;Thaumatomonadida;;;;;67;49;;;66;99;;
Chromista;Myzozoa;Conoidasida;Eucoccidiorida;;;;;;;;;;;22;15
Chromista;Myzozoa;Conoidasida;Eugregarinorida;;;;;;;;;;;;17
Chromista;Myzozoa;Dinophyceae;Dinophysiales;26;223;84;766;201;87;293;2152;936;452;43;90
Chromista;Myzozoa;Dinophyceae;Gonyaulacales;66;778;44;726;4444;2205;306;2178;2325;1264;208;382
Chromista;Myzozoa;Dinophyceae;Gymnodiniales;273;2509;164;2047;14108;6851;812;3207;3284;3193;3355;6997
Chromista;Myzozoa;Dinophyceae;Noctilucales;;26;;;32;12;;;;;13;11
Chromista;Myzozoa;Dinophyceae;Peridiniales;97;1009;147;1112;3864;2312;1037;5405;3093;1158;1156;2457
Chromista;Myzozoa;Dinophyceae;Prorocentrales;;26;;33;;;;;23;;;37
Chromista;Myzozoa;Dinophyceae;Suessiales;;40;;217;1041;371;43;432;651;394;21;123
Chromista;Myzozoa;Dinophyceae;Syndiniales;;174;161;1598;10389;5506;789;2869;3143;1884;3179;5568
Chromista;Myzozoa;Dinophyceae;Thoracosphaerales;;;;20;819;406;73;158;183;145;37;69
Chromista;Myzozoa;Dinophyceae;;257;2085;311;3708;14027;6492;958;4752;6434;6398;2190;4770
Chromista;Ochrophyta;Bolidophyceae;Parmales;;;;42;73;55;79;265;172;147;22;44
Chromista;Ochrophyta;Pelagophyceae;Sarcinochrysidales;;;;13;48;28;15;71;97;101;19;58
Chromista;Ochrophyta;Phaeophyceae;Dictyotales;;;;;93;48;88;352;427;313;;47
Chromista;Ochrophyta;Phaeophyceae;Ectocarpales;;;;;;;;28;51;61;126;1003
Chromista;Ochrophyta;Phaeophyceae;Fucales;;;;14;14770;9727;;32;5720;4215;;
Chromista;Ochrophyta;Phaeophyceae;;;;;;27;;11;24;219;223;;12
Chromista;Ochrophyta;Pinguiophyceae;Pinguiochrysidales;;;;;;;;;;;;19
Chromista;Ochrophyta;Raphidophyceae;Chattonellales;;28;;98;609;308;;155;246;203;80;144
Chromista;Ochrophyta;Synurophyceae;Synurales;;13;;;;;14;48;26;20;;
Chromista;Oomycota;Hyphochytriomycetes;;;96;52;497;212;84;174;707;1381;1253;579;1042
Chromista;Oomycota;Oomycetes;Lagenidiales;;;;;;;;12;;;;126
Chromista;Oomycota;Oomycetes;;;;;;;;;11;18;41;;12
Chromista;Radiozoa;Acantharea;Arthracanthida;;;;;22;;;;;;80;232
Chromista;Radiozoa;Acantharea;Holacanthida;;;;;44;;;;;;;11
Chromista;Radiozoa;Polycystinea;Collodaria;897;42;;20;39;22121;3055;13213;20313;5585;;
Chromista;Radiozoa;Polycystinea;Nassellaria;;;;;;;;;;;78;87
Chromista;Radiozoa;Polycystinea;Spumellaria;;;;;;;;;;;14;23
Chromista;;Bigyra;Thraustochytrida;169;1336;;140;78;27;135;255;301;344;211;398
Chromista;;Bigyra;;;;;;;;;;;;;25
Chromista;;Dinophyceae;Peridiniales;;;;;250;121;;;;;;
Fungi;Ascomycota;Dothideomycetes;Capnodiales;;;;;;;;;15;;;
Fungi;Ascomycota;Dothideomycetes;Pleosporales;;;;;;;;31;34;27;110;240
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;;;;;;;;;;20;;
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;76;381;;;;;;;;;;
Fungi;;;;;;;;18;;;27;;;;
Metazoa;Annelida;Clitellata;Enchytraeida;17;;;;;;;;;;;
Metazoa;Annelida;Polychaeta;Capitellida;;;;12;16;;46;;61;45;34;91
Metazoa;Annelida;Polychaeta;Eunicida;;;;;33;37;15;67;698;798;;14
Metazoa;Annelida;Polychaeta;Golfingiida;;;;;;;;;;;;52
Metazoa;Annelida;Polychaeta;Phyllodocida;;23;;47;1830;1563;42;195;217;187;565;351
Metazoa;Annelida;Polychaeta;Sabellida;;14;;182;352;269;73;266;462;498;223;359
Metazoa;Annelida;Polychaeta;Spionida;;24;11;129;;24;28;35;382;40;48;136
Metazoa;Annelida;Polychaeta;Terebellida;;;;;11;;;70;32;77;43;95
Metazoa;Annelida;Polychaeta;;;11;;;252;311;26;139;160;223;172;755
Metazoa;Arthropoda;Branchiopoda;Diplostraca;;150;;;;;;;;;;
Metazoa;Arthropoda;Hexanauplia;Calanoida;5548;78511;8009;217737;28179;15999;5358;62924;6603;9287;2355;8102
Metazoa;Arthropoda;Hexanauplia;Cyclopoida;1786;16761;492;4393;15440;9041;1865;15631;4485;3121;1413;2749
Metazoa;Arthropoda;Hexanauplia;Harpacticoida;272;1942;27;79;275;804;;59;252;238;281;4000
Metazoa;Arthropoda;Hexanauplia;Misophrioida;;;;;;;;;21;;;
Metazoa;Arthropoda;Hexanauplia;Monstrilloida;;;;;;;;;41;;;
Metazoa;Arthropoda;Hexanauplia;Poecilostomatoida;;865;;686;319;204;192;1227;398;327;231;260
Metazoa;Arthropoda;Hexanauplia;Sessilia;;17;;50;;;;;102;29;;
Metazoa;Arthropoda;Hexanauplia;Siphonostomatoida;12;145;;31;104;979;33;41;771;443;109;416
Metazoa;Arthropoda;Hexanauplia;;19;223;25;149;180;175;35;67;429;374;634;2636
Metazoa;Arthropoda;Ostracoda;Podocopida;;;;;;;;;;15;106;686
Metazoa;Bryozoa;Gymnolaemata;Cheilostomatida;;;;75;53;103;35;91;158;141;81;126
Metazoa;Bryozoa;Stenolaemata;Cyclostomatida;;;;124;225;98;62;196;318;231;56;104
Metazoa;Bryozoa;;;;;;;;;;;;;16;28
Metazoa;Chaetognatha;Sagittoidea;Aphragmophora;;108;;;;;;;;;;
Metazoa;Chaetognatha;Sagittoidea;Phragmophora;;;;;;;;;;;;213
Metazoa;Chordata;Actinopteri;Blenniiformes;;;;;;;;;61;35;;
Metazoa;Chordata;Actinopteri;Cypriniformes;;;;;;;;27;;;;
Metazoa;Chordata;Actinopteri;Labriformes;;;;;;;;;;;;15
Metazoa;Chordata;Appendicularia;Copelata;62;323;129;1875;712;;134;330;291;643;80;665
Metazoa;Chordata;Ascidiacea;Enterogona;;;;40;;;;;79;41;11;39
Metazoa;Chordata;Ascidiacea;Stolidobranchia;;131;25;217;368;212;68;234;576;288;29;58
Metazoa;Chordata;Ascidiacea;;;;;15;;;;;;;;
Metazoa;Chordata;Thaliacea;Doliolida;403;2935;;;;;;;;;;15
Metazoa;Chordata;Thaliacea;Salpida;;;;12;;;60;203;28;19;28;73
Metazoa;Cnidaria;Anthozoa;Actiniaria;;;;13;;;;;;;;
Metazoa;Cnidaria;Anthozoa;Alcyonacea;;;;35;;;;;;;;
Metazoa;Cnidaria;Anthozoa;;18;95;;;369;191;;;117;12;;
Metazoa;Cnidaria;Hydrozoa;Anthoathecata;;74;;20;108;48;;;18;13;;
Metazoa;Cnidaria;Hydrozoa;Leptothecata;;;27;612;309;367;52;616;422;1077;18;
Metazoa;Cnidaria;Hydrozoa;Narcomedusae;;;;;;;34;43;;;;56
Metazoa;Cnidaria;Hydrozoa;Siphonophorae;78;693;462;5391;;;;982;;;187;
Metazoa;Cnidaria;Hydrozoa;Trachymedusae;;;;;;;121;464;40;;63;83
Metazoa;Cnidaria;Hydrozoa;;;;;;;;528;1556;786;1346;;29
Metazoa;Cnidaria;Scyphozoa;Rhizostomeae;;137;;;;;;;402;364;;
Metazoa;Cnidaria;;;;;;33;;;;;;;;
Metazoa;Ctenophora;Tentaculata;Lobata;;;;;;;15;;;;;
Metazoa;Ctenophora;;;;;;;;;;50;;;;
Metazoa;Echinodermata;Echinoidea;;;51;;24;;;;;;18;345;981
Metazoa;Echinodermata;Holothuroidea;Apodida;64;1919;;;;;;;;;;
Metazoa;Echinodermata;Ophiuroidea;Ophiurida;;32;;;;16;;;;;;46
Metazoa;Echinodermata;Ophiuroidea;;;35;;;;;;;;;;
Metazoa;Gastrotricha;;Chaetonotida;;;;;;;;;;;15;
Metazoa;Hemichordata;Enteropneusta;;;119;;;;;;;;;;
Metazoa;Mollusca;Bivalvia;Limoida;;124;148;1180;22;30;;;2264;2258;;
Metazoa;Mollusca;Bivalvia;Myoida;;21;;;;;;;;;;28
Metazoa;Mollusca;Bivalvia;Mytiloida;100;714;;53;106;273;106;353;256;143;49;49
Metazoa;Mollusca;Bivalvia;Ostreoida;;24;;;;;;;;;;
Metazoa;Mollusca;Bivalvia;Pectinoida;;69;;17;;;;;;16;12;43
Metazoa;Mollusca;Bivalvia;Veneroida;26;438;;18;16;70;110;613;47;;51;50
Metazoa;Mollusca;Bivalvia;;73;887;64;434;12;;;;2719;1705;;
Metazoa;Mollusca;Gastropoda;Acochlidiacea;;;;;;;;;;;22;
Metazoa;Mollusca;Gastropoda;Cephalaspidea;;;;126;;;;;;18;34;24
Metazoa;Mollusca;Gastropoda;Lepetellida;;;;17;;;12;82;;;;
Metazoa;Mollusca;Gastropoda;Littorinimorpha;;;;;;;;;13;;;
Metazoa;Mollusca;Gastropoda;Pteropoda;;44;;17;55;12;64;613;66;21;;
Metazoa;Mollusca;Gastropoda;Trochida;;;;19;;;;;119;50;;
Metazoa;Mollusca;Gastropoda;Umbraculida;;30;;199;;;;;16;17;;
Metazoa;Mollusca;Gastropoda;;25;571;46;843;39;76;85;11;130;152;312;194
Metazoa;Mollusca;Polyplacophora;Chitonida;;;;82;;;;;8699;6421;;
Metazoa;Mollusca;;;;;11;39;;17;;18;16;12;;
Metazoa;Nematoda;Chromadorea;Chromadorida;;;;;;;;;11;25;19;201
Metazoa;Nematoda;Enoplea;Enoplida;;;;;;;;;;;;143
Metazoa;Nemertea;Enopla;Monostilifera;;19;88;612;14;;;;264;156;;
Metazoa;Nemertea;Enopla;;;11;39;304;27;;;;172;64;17;
Metazoa;Nemertea;Palaeonemertea;;;;;;;;;15;153;;;
Metazoa;Nemertea;Pilidiophora;Heteronemertea;;27;;;;;;;;;;
Metazoa;Platyhelminthes;Platyhelminthes;Opisthorchiida;;;;;;;;;15;11;;
Metazoa;Platyhelminthes;Rhabditophora;Macrostomida;;;;;;;;;;;100;366
Metazoa;Platyhelminthes;Rhabditophora;Polycladida;;35;;252;;;;41;59;128;15;382
Metazoa;Platyhelminthes;Rhabditophora;Proseriata;;;;;;;;;;;14;
Metazoa;Platyhelminthes;Rhabditophora;Rhabdocoela;;;;107;;;;;;;;70
Metazoa;Porifera;Calcarea;Clathrinida;;;;;26;21;;;;19;;
Metazoa;Porifera;Calcarea;Leucosolenida;;;;;21;;;;19;;;
Metazoa;Porifera;Calcarea;Lithonida;;12;;14;26;16;;43;46;64;;13
Metazoa;Porifera;Calcarea;;;;;13;159;80;12;38;118;119;25;64
Metazoa;Porifera;Demospongiae;Bubarida;;;;;;;;;;;28;58
Metazoa;Porifera;Demospongiae;Haplosclerida;;16;19;94;;;;;50;64;14;
Metazoa;Porifera;Demospongiae;Poecilosclerida;;23;;110;85;39;46;133;193;230;488;1036
Metazoa;Porifera;Demospongiae;Suberitida;;;21;233;;;;;;18;;
Metazoa;Porifera;Demospongiae;Tetractinellida;;;;42;;;;;;;15;29
Metazoa;Porifera;Demospongiae;;;71;46;556;536;296;16;74;474;481;281;553
Metazoa;Rotifera;Monogononta;Ploima;;;;;14;11;;;;;;57
Metazoa;Rotifera;Monogononta;;;;;;;;;;;;;34
Metazoa;Xenacoelomorpha;;Acoela;;;;;;;;;12;70;;54
Metazoa;Xenacoelomorpha;;Nemertodermatida;;;;;;139;;;;16;;
Protozoa;Choanozoa;Choanoflagellata;Acanthoecida;18;205;15;150;304;124;145;456;212;192;31;75
Protozoa;Choanozoa;Choanoflagellata;Craspedida;;;;;;;;;20;;11;25
Protozoa;Choanozoa;Choanoflagellata;;;38;;;;;;13;;12;12;16
Protozoa;Sulcozoa;;Ancyromonadida;;;;29;34;14;;;20;30;;13
Viridiplantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;;;;;;;13;75;11;;;
Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;;;29;299;201;100;2016;11720;2918;2035;321;454
Viridiplantae;Chlorophyta;Palmophyllophyceae;Prasinococcales;;;;13;;;39;177;261;187;12;16
Viridiplantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;;19;11;186;1562;667;74;247;418;329;344;554
Viridiplantae;Chlorophyta;Ulvophyceae;Dasycladales;;14;;;;;;18;;112;100;94
Viridiplantae;Chlorophyta;;;;;;;;;;;40;45;;
Viridiplantae;Rhodophyta;Florideophyceae;Bonnemaisoniales;;21;16;145;;;;;46;64;;
Viridiplantae;Rhodophyta;Florideophyceae;Ceramiales;;55;;;156;;21;85;326;357;36;51
Viridiplantae;Rhodophyta;Florideophyceae;Corallinales;;;;13;;;;;13;;;
Viridiplantae;Rhodophyta;Florideophyceae;Gigartinales;;;;;;;;;;;;11
Viridiplantae;Rhodophyta;Florideophyceae;Hapalidiales;;;;;;;;;;;;21
Viridiplantae;Rhodophyta;Florideophyceae;Rhodymeniales;;;;;;;;;;13;;35
Viridiplantae;Streptophyta;Pinopsida;;;;;;;;141;192;47;54;;
;Picozoa;Picomonadea;Picomonadida;17;99;19;224;911;451;139;597;457;355;123;206
Total;;;;13557;159547;11755;260591;135130;97279;24423;158843;103216;75864;25302;62818
