"","kingdom","phylum","class","order","Agde_port_1","Agde_port_2","Cannes_Biohut","Cannes_Port_1","Cannes_Port_2","La_Ciotat_Port_1","La_Ciotat_Port_2","Marseillan_Port_1","Marseillan_Port_2","Marseillan_Biohut","Porquerolles_Port_1","Port_Vendre_Port_1","SMM_Biohut","SMM_Port_1","SMM_Port_2"
"1","Chromista","-","Bigyra","-",1,1,0,0,0,0,0,1,1,1,0,1,0,0,0
"2","Chromista","-","Bigyra","Thraustochytrida",0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"3","Chromista","Apicomplexa","Conoidasida","Eucoccidiorida",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"4","Chromista","Bacillariophyta","-","-",0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
"5","Chromista","Bacillariophyta","Bacillariophyceae","-",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6","Chromista","Bacillariophyta","Bacillariophyceae","Bacillariales",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
"7","Chromista","Bacillariophyta","Bacillariophyceae","Naviculales",0,0,0,0,0,1,0,1,1,1,0,1,1,1,1
"8","Chromista","Bacillariophyta","Coscinodiscophyceae","-",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"9","Chromista","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"10","Chromista","Bacillariophyta","Coscinodiscophyceae","Leptocylindrales",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
"11","Chromista","Bacillariophyta","Coscinodiscophyceae","Melosirales",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"12","Chromista","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
"13","Chromista","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","Chromista","Bacillariophyta","Fragilariophyceae","Thalassionemales",0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
"15","Chromista","Bacillariophyta","Mediophyceae","Cymatosirales",1,1,1,0,0,0,0,1,1,0,0,1,1,1,1
"16","Chromista","Bacillariophyta","Mediophyceae","Hemiaulales",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"17","Chromista","Bacillariophyta","Mediophyceae","Lithodesmiales",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"18","Chromista","Bacillariophyta","Mediophyceae","Triceratiales",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"19","Chromista","Cercozoa","Thecofilosea","-",1,1,0,0,0,0,0,1,0,0,0,0,1,1,1
"20","Chromista","Cercozoa","Thecofilosea","Cryomonadida",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"21","Chromista","Ciliophora","-","-",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22","Chromista","Ciliophora","Heterotrichea","Heterotrichida",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"23","Chromista","Ciliophora","Litostomatea","Cyclotrichida",0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"24","Chromista","Ciliophora","Litostomatea","Haptorida",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"25","Chromista","Ciliophora","Oligohymenophorea","Peniculida",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26","Chromista","Ciliophora","Oligohymenophorea","Sessilida",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"27","Chromista","Ciliophora","Prostomatea","Prorodontida",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
"28","Chromista","Ciliophora","Spirotrichea","-",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"29","Chromista","Ciliophora","Spirotrichea","Choreotrichida",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","Chromista","Ciliophora","Spirotrichea","Tintinnida",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"31","Chromista","Ciliophora","Spirotrichea","Urostylida",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"32","Chromista","Endomyxa","Ascetosporea","Haplosporida",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"33","Chromista","Foraminifera","-","Astrorhizida",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"34","Chromista","Haptista","Centroplasthelida","Pterocystida",0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
"35","Chromista","Haptista","Haptophyta","Isochrysidales",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"36","Chromista","Haptista","Haptophyta","Phaeocystales",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
