phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
-,Bigyra,-,228,210,,,,,,122,99,57,,23,,,
-,Bigyra,Thraustochytrida,,,58,28,,318,163,96,78,14,434,14,69,57,44
Apicomplexa,Conoidasida,Eucoccidiorida,,,,,,,,,,,,,18,,12
Bacillariophyta,-,-,,,,,,,,41,17,13,,,33,46,29
Bacillariophyta,Bacillariophyceae,-,,,,,,,,,,,,,13,,
Bacillariophyta,Bacillariophyceae,Bacillariales,62,54,104,46,18,28,,294,232,107,,196,444,178,196
Bacillariophyta,Bacillariophyceae,Naviculales,,,,,,42,,96,112,61,,43,39,28,49
Bacillariophyta,Coscinodiscophyceae,-,,,,,,,,58,30,24,,17,,,
Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,54,52,93,57,23,,,4862,4003,2203,257,636,3075,721,1376
Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,,,,,,,,429,370,155,,27,60,35,34
Bacillariophyta,Coscinodiscophyceae,Melosirales,19,,190,77,43,99,106,96,53,27,42,17,14,,
Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,,,,,,,,332,330,162,,27,137,37,74
Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,3192,4266,312,126,42,72,53,610,442,203,153,867,3027,605,1722
Bacillariophyta,Fragilariophyceae,Thalassionemales,,,,,,,,36,27,19,,,33,11,12
Bacillariophyta,Mediophyceae,Cymatosirales,35,29,21,,,,,22,21,,,58,176,14,65
Bacillariophyta,Mediophyceae,Hemiaulales,,,,,,,,27,63,21,,11,,,
Bacillariophyta,Mediophyceae,Lithodesmiales,54,44,,,,,,,,,,,129,53,54
Bacillariophyta,Mediophyceae,Triceratiales,,,,,,11,,,,,,,46,25,15
Cercozoa,Thecofilosea,-,23,11,,,,,,15,,,,,85,48,52
Cercozoa,Thecofilosea,Cryomonadida,,,,,,,,13,11,,11,25,,,
Ciliophora,-,-,,,,,,,,,,,14,,,,
Ciliophora,Heterotrichea,Heterotrichida,,,,,,,,17,,,,,,,
Ciliophora,Litostomatea,Cyclotrichida,,,,,,228,178,,,,94,34,,,
Ciliophora,Litostomatea,Haptorida,,,,,,,12,,,,,,,,
Ciliophora,Oligohymenophorea,Peniculida,,,,,,,,,,,136,,,,
Ciliophora,Oligohymenophorea,Sessilida,,,,,,,,,,,,11,,,
Ciliophora,Prostomatea,Prorodontida,,,,,,56,29,87,75,42,84,47,,,
Ciliophora,Spirotrichea,-,692,605,417,206,123,2266,1804,7106,4753,3265,2917,4555,15499,9841,8588
Ciliophora,Spirotrichea,Choreotrichida,,,94,50,19,63,34,521,273,169,17,26,668,232,321
Ciliophora,Spirotrichea,Tintinnida,338,217,137,489,208,145,90,1671,936,567,28,2453,86,,63
