"class_order","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213523","SPY213518","SPY213521","SPY213522","SPY221741","SPY221742","SPY221745","SPY221746","SPY221749","SPY221750","SPY221751","SPY221753","SPY221747","SPY221748","SPY221743","SPY221744","SPY221739","SPY221740"
"Bigyra_NA",228,210,0,0,0,0,0,122,99,57,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bigyra_Thraustochytrida",0,0,58,28,0,318,163,96,78,14,434,14,69,57,44,12,23,0,0,424,251,152,116,11,91,0,0,17,54
"Conoidasida_Eucoccidiorida",0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillariophyceae_NA",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillariophyceae_Bacillariales",62,54,104,46,18,28,0,294,232,107,0,196,444,178,196,0,0,0,0,0,0,0,0,59,139,23,22,495,0
"Bacillariophyceae_Naviculales",0,0,0,0,0,42,0,96,112,61,0,43,39,28,49,0,0,0,0,0,0,0,0,0,15,0,0,16,20
"Coscinodiscophyceae_NA",0,0,0,0,0,0,0,58,30,24,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,37,39
"Coscinodiscophyceae_Chaetocerotales",54,52,93,57,23,0,0,4862,4003,2203,257,636,3075,721,1376,332,309,76,176,109,116,11,12,20,17,671,614,0,0
"Coscinodiscophyceae_Leptocylindrales",0,0,0,0,0,0,0,429,370,155,0,27,60,35,34,0,0,0,0,0,0,0,0,0,0,13,24,20,49
"Coscinodiscophyceae_Melosirales",19,0,190,77,43,99,106,96,53,27,42,17,14,0,0,0,0,0,0,11,0,0,12,28,0,0,0,0,0
"Coscinodiscophyceae_Rhizosoleniales",0,0,0,0,0,0,0,332,330,162,0,27,137,37,74,0,0,0,0,0,0,0,0,0,0,37,52,29,100
"Coscinodiscophyceae_Thalassiosirales",3192,4266,312,126,42,72,53,610,442,203,153,867,3027,605,1722,249,780,0,42,0,0,0,0,0,0,31,29,0,0
"Fragilariophyceae_Thalassionemales",0,0,0,0,0,0,0,36,27,19,0,0,33,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mediophyceae_Cymatosirales",35,29,21,0,0,0,0,22,21,0,0,58,176,14,65,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"Mediophyceae_Hemiaulales",0,0,0,0,0,0,0,27,63,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Mediophyceae_Lithodesmiales",54,44,0,0,0,0,0,0,0,0,0,0,129,53,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mediophyceae_Triceratiales",0,0,0,0,0,11,0,0,0,0,0,0,46,25,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Thecofilosea_NA",23,11,0,0,0,0,0,15,0,0,0,0,85,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thecofilosea_Cryomonadida",0,0,0,0,0,0,0,13,11,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heterotrichea_Heterotrichida",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0
"Litostomatea_Cyclotrichida",0,0,0,0,0,228,178,0,0,0,94,34,0,0,0,0,0,0,0,961,852,0,0,0,0,0,0,57,110
"Litostomatea_Haptorida",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,77,89,96,115,0,0,0,0,0,0
"Oligohymenophorea_Peniculida",0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligohymenophorea_Sessilida",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Prostomatea_Prorodontida",0,0,0,0,0,56,29,87,75,42,84,47,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,97,76
"Spirotrichea_NA",692,605,417,206,123,2266,1804,7106,4753,3265,2917,4555,15499,9841,8588,202,475,0,0,0,0,0,0,0,0,0,0,0,0
"Spirotrichea_Choreotrichida",0,0,94,50,19,63,34,521,273,169,17,26,668,232,321,147,235,702,0,0,21,14,52,0,0,0,0,229,386
"Spirotrichea_Tintinnida",338,217,137,489,208,145,90,1671,936,567,28,2453,86,0,63,532,0,0,0,0,750,92,220,0,0,0,984,0,0
"Spirotrichea_Urostylida",0,0,0,0,0,19,0,11,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,18,19
"Ascetosporea_Haplosporida",25,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
