kingdom,phylum,class,order,Agde_port_1,Agde_port_2,Cannes_Biohut,Cannes_Port_1,Cannes_Port_2,La_Ciotat_Port_1,La_Ciotat_Port_2,Marseillan_Port_1,Marseillan_Port_2,Marseillan_Biohut,Porquerolles_Port_1,Port_Vendre_Port_1,SMM_Biohut,SMM_Port_1 ,SMM_Port_2 
kingdom,phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
Chromista,-,Bigyra,-,228,210,,,,,,122,99,57,,23,,,
Chromista,-,Bigyra,Thraustochytrida,,,58,28,,318,163,96,78,14,434,14,69,57,44
Chromista,Apicomplexa,Conoidasida,Eucoccidiorida,,,,,,,,,,,,,18,,12
Chromista,Bacillariophyta,-,-,,,,,,,,41,17,13,,,33,46,29
Chromista,Bacillariophyta,Bacillariophyceae,-,,,,,,,,,,,,,13,,
Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,62,54,104,46,18,28,,294,232,107,,196,444,178,196
Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,,,,,,42,,96,112,61,,43,39,28,49
Chromista,Bacillariophyta,Coscinodiscophyceae,-,,,,,,,,58,30,24,,17,,,
Chromista,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,54,52,93,57,23,,,4862,4003,2203,257,636,3075,721,1376
Chromista,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,,,,,,,,429,370,155,,27,60,35,34
Chromista,Bacillariophyta,Coscinodiscophyceae,Melosirales,19,,190,77,43,99,106,96,53,27,42,17,14,,
Chromista,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,,,,,,,,332,330,162,,27,137,37,74
Chromista,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,3192,4266,312,126,42,72,53,610,442,203,153,867,3027,605,1722
Chromista,Bacillariophyta,Fragilariophyceae,Thalassionemales,,,,,,,,36,27,19,,,33,11,12
Chromista,Bacillariophyta,Mediophyceae,Cymatosirales,35,29,21,,,,,22,21,,,58,176,14,65
Chromista,Bacillariophyta,Mediophyceae,Hemiaulales,,,,,,,,27,63,21,,11,,,
Chromista,Bacillariophyta,Mediophyceae,Lithodesmiales,54,44,,,,,,,,,,,129,53,54
Chromista,Bacillariophyta,Mediophyceae,Triceratiales,,,,,,11,,,,,,,46,25,15
