Nom du site;;;;;AgdePort;AgdePort;CannesPort;CannesPort;LaCiotatPortZone1;LaCiotatPortZone1;LaCiotatPortZone2;LaCiotatPortZone2;PorquerollesPort;PorquerollesPort;PortVendrePort;PortVendrePort;SMMPort;SMMPort
phylum;class;order;family;scientific_name;SPY221741;SPY221742;SPY221745;SPY221746;SPY221749;SPY221750;SPY221751;SPY221753;SPY221747;SPY221748;SPY221743;SPY221744;SPY221739;SPY221740
Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Candidatus Aquiluna rubra;;;;;;;;;55;51;;;27;
Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacteriaceae;;;17;23;;;;;;;;;;14
Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Yonghaparkia sp. MOLA 360;;;;;;;;;;;37;26;;
Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Raoultibacter;;;;;16;;20;15;;;;;;
Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;;;;;;;;;;13;;11;116
Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;;;;;;;;;;;;;35;246
Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros simplex;;;85;762;29;71;;;27;27;;;48;262
Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros socialis;;;;;;;;;;;;;;34
Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros tenuissimus;;;178;242;47;63;23;23;17;28;;;63;81
Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;;;;;;;;;14;27;;;;
Bacillariophyta;Coscinodiscophyceae;-;-;Thalassiosirophycidae;;;;;;;;;109;153;;;13;100
Bacillariophyta;-;-;-;Bacillariophyta;;;;;;;;;;;36;18;;
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aureicoccus marinus;;;86;136;281;308;234;202;146;492;;;466;419
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bizionia psychrotolerans;;;;;78;76;;;;;;;523;303
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacteriaceae;;;65;98;;;;;12;71;;;146;105
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium sp. SCGC AAA015-C20;;;48;65;54;45;78;60;;22;48;37;13;
Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium sp. SCGC AAA300-K05;;;11;15;;;;13;;;;;;
