phylum;class;order;family;genus;Taxon;Banyuls;;Calanques;Calanques;Calvi;Calvi;Cap Roux;Cap Roux;Porquerolles;Porquerolles;St Florent;St Florent
;;;;;;SPY200468;SPY200474;SPY181699;SPY192310;SPY181149;SPY181150;SPY200806;SPY200807;SPY201239;SPY201241;SPY201216;SPY201263
Actinobacteria;Actinobacteria ;Micrococcales;Microbacteriaceae;Aquiluna;Candidatus Aquiluna rubra;;;;;;;18;;;;;
Actinobacteria;Actinobacteria ;Micrococcales;Microbacteriaceae;Aurantimicrobium;Aurantimicrobium;;;;;;;30;;;;;
Actinobacteria;Actinobacteria ;Micrococcales;Microbacteriaceae;Limnoluna;Candidatus Limnoluna rubra;;;;;;;19;;;;;
Actinobacteria;Actinobacteria ;Micrococcales;Microbacteriaceae;Planktoluna;Candidatus Planktoluna difficilis;;;;;;;11;;;;;
Actinobacteria;Actinobacteria ;Micrococcales;Microbacteriaceae;Rhodoluna;Rhodoluna;;;;;;;36;;;;;
Actinobacteria;Actinobacteria ;Micrococcales;Microbacteriaceae;Yonghaparkia;Yonghaparkia sp. MOLA 360;1169;3255;;;;;;;;;;
Actinobacteria;Actinobacteria ;Micrococcales;Micrococcaceae;;Micrococcaceae;;;;;;;84;;;;40;
Actinobacteria;Actinobacteria ;Nanopelagicales;Nanopelagicaceae;Nanopelagicus;Candidatus Nanopelagicus hibericus;;;;;;;445;217;;;;
Actinobacteria;Actinobacteria ;Nanopelagicales;Nanopelagicaceae;Planktophila;Candidatus Planktophila;;;;;;;206;109;;;;
Actinobacteria;Actinobacteria ;Nanopelagicales;Nanopelagicaceae;Planktophila;Candidatus Planktophila lacus;;;;;;;49;24;;;;
Actinobacteria;Actinobacteria ;Nanopelagicales;Nanopelagicaceae;Planktophila;Candidatus Planktophila limnetica;;;;;;;36;;;;;
Actinobacteria;Actinobacteria ;Nanopelagicales;Nanopelagicaceae;Planktophila;Candidatus Planktophila sulfonica;;;;;;;59;24;;;;
Actinobacteria;Actinobacteria ;Nanopelagicales;Nanopelagicaceae;Planktophila;Candidatus Planktophila vernalis;;;;;;;313;128;;;;
Actinobacteria;Actinobacteria ;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces;48;110;16;25;32;53;204;;58;267;202;76
Actinobacteria;Actinobacteria ;;;;Actinobacteria;;29;;;;;;;;;;
Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Raoultibacter;Raoultibacter;;;;;;;;;;23;;
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides;;;44;66;;;;;;;;
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;;;16;29;;;;;;;;
Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;Macellibacteroides fermentans;;;38;39;;;;;;;;
Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium;;;;;;;82;95;;;;
