"","phylum","class","order","family","taxon","Agde_port_1","Agde_port_2","Cannes_Biohut","Cannes_Port_1","Cannes_Port_2","La_Ciotat_Port_1","La_Ciotat_Port_2","Marseillan_Port_1","Marseillan_Port_2","Marseillan_Biohut","Porquerolles_Port_1","Porquerolles_Port_2","Port_Vendre_Port_1","Port_Vendre_Port_2","SMM_Biohut","SMM_Port_1","SMM_Port_2"
"1","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Yonghaparkia sp. MOLA 360",0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"2","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"3","Actinobacteria","Actinobacteria","-","-","Actinobacteria",1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"4","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter",0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"5","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"6","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides vulgatus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Macellibacteroides fermentans",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella copri",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"10","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirgaceae",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"12","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Actibacter",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
