"taxon","SPY213513","SPY213520","SPY213515","SPY213512","SPY213516","SPY213514","SPY213517","SPY202505","SPY202519","SPY202520","SPY213519","SPY213527","SPY213523","SPY213525","SPY213518","SPY213521","SPY213522","SPY221741","SPY221742","SPY221745","SPY221746","SPY221749","SPY221750","SPY221751","SPY221753","SPY221747","SPY221748","SPY221743","SPY221744","SPY221739","SPY221740"
"Yonghaparkia_sp._MOLA_360",0,0,0,0,0,0,0,79,61,28,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,37,26,0,0
"Streptomyces",0,0,0,0,0,0,0,20,15,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinobacteria",221,215,0,0,0,0,0,574,308,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raoultibacter",0,0,0,0,0,59,38,0,0,0,65,187,0,0,0,0,0,0,0,0,0,16,0,20,15,0,0,0,0,0,0
"Bacteroides",0,0,40,17,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_vulgatus",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macellibacteroides_fermentans",0,0,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flammeovirgaceae",0,0,0,0,0,0,0,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actibacter",0,0,0,0,0,0,0,17,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aureimarina_marisflavi",0,12,0,0,0,53,80,1252,745,362,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacteriaceae",188,227,0,0,0,12,0,482,376,105,20,0,0,18,112,25,26,0,0,65,98,0,0,0,0,12,71,0,0,146,105
"Flavobacterium_sp._SCGC_AAA015-C20",0,0,176,59,51,174,173,244,159,74,119,232,131,262,153,85,66,0,0,48,65,54,45,78,60,0,22,48,37,13,0
"Flavobacterium_sp._SCGC_AAA298-O21",0,0,0,0,0,0,12,84,56,29,0,27,0,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacterium_sp._SCGC_AAA300-I04",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacterium_sp._SCGC_AAA300-K05",24,24,108,0,41,77,78,280,181,92,59,227,97,180,132,20,31,0,0,11,15,0,0,0,13,0,0,0,0,0,0
"Tenacibaculum",271,346,85,29,21,139,119,15,11,0,574,699,299,1216,1135,338,277,0,0,0,0,0,0,0,0,0,0,0,0,503,343
"Tenacibaculum_mesophilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,340,312,0,0,0,0,0,0,0,0,0,0,0,0,474,278
"Bacteroidetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Atelocyanobacterium_thalassa",0,0,50,22,18,43,40,837,770,311,43,151,212,466,95,31,43,0,0,11,17,38,33,34,43,0,0,28,17,0,0
"Prochlorococcus",0,0,0,0,0,0,21,40,148,0,0,33,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prochlorococcus_sp._SCGC_AAA298-C17",98,118,1104,359,214,2211,1510,38,20,0,555,1076,297,503,746,479,311,0,0,103,105,279,317,178,141,15,55,0,0,0,11
"Synechococcus_sp._RCC328",0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synechococcus_sp._UW179",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synechococcales",0,0,0,0,0,0,0,13,94,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Thalassoarchaea_mediterranii",0,0,0,0,0,0,0,49,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_crossotus",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia",13,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_intestinalis",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetoanaerobium",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalibacterium",11,12,0,0,0,20,0,0,0,0,105,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pirellulaceae",0,19,0,0,0,0,0,17,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodopirellula_sp.",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodopirellula_sp._SM52",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Pelagibacter",579,917,57,79,19,73,66,853,1004,938,102,371,63,594,27,0,0,0,0,0,17,17,46,0,47,0,0,76,62,46,73
"Candidatus_Pelagibacter_sp._AAA795-M22",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hellea_balneolensis",86,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amylibacter_ulvae",0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"Nioella_sp.",67,105,107,50,19,17,13,18,15,0,177,160,0,0,0,0,0,0,0,99,142,23,30,0,0,259,308,0,0,27,0
"Octadecabacter_sp._LPB0143",0,0,301,104,73,14,0,0,0,0,0,0,0,0,424,191,152,0,0,0,0,0,0,0,0,0,0,0,0,335,134
"Pacificibacter",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaeobacter_sp._6362",206,227,2592,1274,853,594,602,3769,2000,1148,5196,4597,174,843,64,0,15,0,0,46,30,15,24,11,0,49,72,0,0,18,0
"Rhodobacteraceae",2732,3386,1488,604,424,7142,1607,7298,3954,2316,6054,6718,482,2289,8077,3135,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseivivax",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseobacter_sp._3008",0,0,0,0,0,0,0,51,22,13,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"Roseovarius",229,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0
"Ruegeria",0,0,0,0,0,0,6009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thalassobacter",0,0,0,0,0,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Altererythrobacter_sp._IMCC5004",113,105,0,0,0,0,0,0,0,0,0,0,0,0,33,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alphaproteobacteria",129,163,0,0,0,0,0,0,0,0,35,12,129,570,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,20,24
"Alcaligenaceae",0,0,0,0,0,0,0,0,0,0,191,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderia",0,0,0,58583,55341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderia_cenocepacia",0,0,0,133,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderiaceae",0,0,0,285,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonadaceae",0,0,0,0,0,0,0,0,35,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseriales",1214,1812,48,18,0,253,303,639,479,215,1331,1066,32,73,3118,1343,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zoogloeaceae",0,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deltaproteobacteria",0,0,0,0,0,0,0,32,22,0,0,23,0,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcobacter",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcobacter_lekithochrous",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcobacter_nitrofigilis",0,0,0,0,0,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arcobacter_sp.",0,0,0,0,0,118,55,21,0,0,0,0,0,13,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0
"Campylobacteraceae",0,0,31,18,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulfurimonas",0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulfurimonas_sp._MA01",0,0,0,0,0,128,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tolumonas_auensis",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alteromonadaceae",0,0,55,12,0,0,0,69,59,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alteromonas_sp.",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colwelliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shewanella",0,0,0,0,0,38,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alteromonadales",0,0,0,0,0,0,0,30,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eionea_flava",20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Teredinibacter_sp.",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
